datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,db1,31.6; 4.2; 11.9; 146.8; 1070.8; 8.3; 64.5; 0.5; 0.3,42710.45,tpch,100
delta,spark,db4,28.7; 3.6; 8.6; 132.4; 743.0; 8.2; 59.1; 0.5; 0.3,29755.63,tpch,100
delta,spark,db4,35.1;3.4;11.2;139.4;1000.9;6.7;59.2;0.6;0.3,39393.26,tpch,100
delta,spark,db10,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,97920.81,tpch,100
delta,spark,db5,30.7;4.3;9.7;121.1;1035.9;6.5;68.1;0.5;0.2,91225.97,tpch,100
delta,spark,db20,36.5; 3.9; 11.0; 156.9; 1108.5; 6.4; 55.1; 0.5; 0.3,82378.58,tpch,100
delta,spark,db6,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,52516.05,tpch,100
delta,spark,db1,32.8;4.0;9.2;135.5;955.3;7.7;62.0;0.5;0.2,48951.28,tpch,100
delta,spark,db4,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,37961.33,tpch,100
delta,spark,db1,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,36489.07,tpch,100
delta,spark,db9,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,138372.13,tpch,100
delta,spark,db9,30.7;4.3;9.7;121.1;1035.9;6.5;68.1;0.5;0.2,125027.00,tpch,100
delta,spark,db10,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,115817.85,tpch,100
delta,spark,db19,29.9; 4.6; 12.6; 117.8; 1093.0; 6.9; 47.6; 0.7; 0.3,66083.91,tpch,100
delta,spark,db12,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,51170.78,tpch,100
delta,spark,db13,26.5; 3.3; 8.7; 156.0; 875.6; 7.7; 54.9; 0.7; 0.3,26723.72,tpch,100
delta,spark,db11,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,21757.90,tpch,100
delta,spark,db9,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,185301.61,tpch,100
delta,spark,db13,28.6; 4.0; 8.8; 138.6; 1072.4; 6.8; 54.3; 0.6; 0.3,43683.53,tpch,100
delta,spark,db7,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,152643.72,tpch,100
delta,spark,db18,27.5;3.5;10.0;137.2;942.1;7.8;55.0;0.6;0.3,84181.63,tpch,100
delta,spark,db10,34.0; 4.3; 10.7; 131.8; 1015.4; 7.8; 56.8; 0.5; 0.3,125955.87,tpch,100
delta,spark,db15,28.1;3.9;8.7;118.3;830.5;7.9;52.3;0.5;0.3,116221.39,tpch,100
delta,spark,db6,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,43121.44,tpch,100
delta,spark,db3,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,56751.60,tpch,100
delta,spark,db13,31.5; 3.9; 11.4; 98.6; 1152.7; 6.7; 67.8; 0.4; 0.3,29752.84,tpch,100
delta,spark,db17,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,152154.27,tpch,100
delta,spark,db8,32.9; 3.6; 10.2; 116.3; 1132.0; 6.2; 66.1; 0.5; 0.3,67147.69,tpch,100
delta,spark,db17,35.1;3.4;11.2;139.4;1000.9;6.7;59.2;0.6;0.3,135527.95,tpch,100
delta,spark,db18,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,68278.57,tpch,100
delta,spark,db3,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,83220.59,tpch,100
delta,spark,db16,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,14517.23,tpch,100
delta,spark,db16,24.3; 3.9; 8.6; 117.5; 942.2; 8.9; 48.1; 0.5; 0.3,15057.24,tpch,100
delta,spark,db13,31.6; 4.2; 11.9; 146.8; 1070.8; 8.3; 64.5; 0.5; 0.3,32245.49,tpch,100
delta,spark,db15,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,74085.79,tpch,100
delta,spark,db7,28.1;3.9;8.7;118.3;830.5;7.9;52.3;0.5;0.3,100758.56,tpch,100
delta,spark,db16,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,13587.27,tpch,100
delta,spark,db21,27.5;3.5;10.0;137.2;942.1;7.8;55.0;0.6;0.3,121886.05,tpch,100
delta,spark,db2,27.5;3.5;10.0;137.2;942.1;7.8;55.0;0.6;0.3,22218.18,tpch,100
delta,spark,db19,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,42630.67,tpch,100
delta,spark,db20,35.9; 4.1; 10.0; 144.9; 920.4; 6.9; 66.2; 0.5; 0.3,55126.77,tpch,100
delta,spark,db3,35.8; 3.8; 12.3; 122.7; 982.3; 7.0; 48.8; 0.7; 0.3,66368.53,tpch,100
delta,spark,db14,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,57719.15,tpch,100
delta,spark,db5,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,77360.34,tpch,100
delta,spark,db16,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,13099.30,tpch,100
delta,spark,db11,35.8; 3.8; 12.3; 122.7; 982.3; 7.0; 48.8; 0.7; 0.3,22748.42,tpch,100
delta,spark,db6,32.8;4.0;9.2;135.5;955.3;7.7;62.0;0.5;0.2,36541.20,tpch,100
delta,spark,db12,29.9; 4.6; 12.6; 117.8; 1093.0; 6.9; 47.6; 0.7; 0.3,55142.20,tpch,100
delta,spark,db10,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,123463.88,tpch,100
delta,spark,db8,34.2; 3.6; 11.8; 125.8; 800.4; 8.3; 64.7; 0.5; 0.3,104259.18,tpch,100
delta,spark,db12,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,70433.69,tpch,100
delta,spark,db2,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,29592.34,tpch,100
delta,spark,db14,31.5; 3.9; 11.4; 98.6; 1152.7; 6.7; 67.8; 0.4; 0.3,52458.18,tpch,100
delta,spark,db5,32.8;4.0;9.2;135.5;955.3;7.7;62.0;0.5;0.2,104990.87,tpch,100
delta,spark,db14,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,54150.25,tpch,100
delta,spark,db12,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,62755.20,tpch,100
delta,spark,db5,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,73035.69,tpch,100
delta,spark,db6,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,41051.33,tpch,100
delta,spark,db20,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,87932.23,tpch,100
delta,spark,db7,31.5; 3.9; 11.4; 98.6; 1152.7; 6.7; 67.8; 0.4; 0.3,137619.93,tpch,100
delta,spark,db8,26.5; 3.3; 8.7; 156.0; 875.6; 7.7; 54.9; 0.7; 0.3,117656.88,tpch,100
delta,spark,db19,24.3; 3.9; 8.6; 117.5; 942.2; 8.9; 48.1; 0.5; 0.3,70161.89,tpch,100
delta,spark,db9,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,124698.12,tpch,100
delta,spark,db19,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,71557.90,tpch,100
delta,spark,db4,28.1;3.9;8.7;118.3;830.5;7.9;52.3;0.5;0.3,52515.81,tpch,100
delta,spark,db21,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,125101.33,tpch,100
delta,spark,db8,31.6; 3.3; 10.0; 142.0; 955.2; 5.7; 54.0; 0.6; 0.3,85636.94,tpch,100
delta,spark,db1,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,39158.30,tpch,100
delta,spark,db18,28.5; 3.0; 10.3; 153.4; 862.1; 8.0; 48.8; 0.7; 0.3,93939.37,tpch,100
delta,spark,db12,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,65783.84,tpch,100
delta,spark,db9,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,184880.79,tpch,100
delta,spark,db6,36.6; 3.9; 11.7; 131.4; 980.2; 7.8; 55.6; 0.5; 0.3,32567.07,tpch,100
delta,spark,db17,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,152699.56,tpch,100
delta,spark,db18,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,71183.43,tpch,100
delta,spark,db22,30.8; 4.2; 10.4; 136.3; 893.2; 5.7; 58.1; 0.6; 0.3,14051.95,tpch,100
delta,spark,db2,36.3; 3.9; 11.4; 161.1; 863.1; 6.5; 55.9; 0.5; 0.3,24643.06,tpch,100
delta,spark,db16,26.5; 3.3; 8.7; 156.0; 875.6; 7.7; 54.9; 0.7; 0.3,15893.19,tpch,100
delta,spark,db1,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,49830.14,tpch,100
delta,spark,db18,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,116535.37,tpch,100
delta,spark,db14,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,49741.06,tpch,100
delta,spark,db11,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,28186.79,tpch,100
delta,spark,db7,32.8;4.0;9.2;135.5;955.3;7.7;62.0;0.5;0.2,113016.84,tpch,100
delta,spark,db21,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,117412.30,tpch,100
delta,spark,db14,28.9; 3.8; 8.5; 120.6; 830.2; 7.7; 50.4; 0.6; 0.3,44955.33,tpch,100
delta,spark,db18,36.5; 3.9; 11.0; 156.9; 1108.5; 6.4; 55.1; 0.5; 0.3,84518.62,tpch,100
delta,spark,db17,29.9; 4.6; 12.6; 117.8; 1093.0; 6.9; 47.6; 0.7; 0.3,150210.32,tpch,100
delta,spark,db20,31.6; 3.3; 10.0; 142.0; 955.2; 5.7; 54.0; 0.6; 0.3,55370.22,tpch,100
delta,spark,db5,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,119113.98,tpch,100
delta,spark,db21,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,97850.01,tpch,100
delta,spark,db11,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,37263.78,tpch,100
delta,spark,db12,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,52615.02,tpch,100
delta,spark,db18,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,72885.85,tpch,100
delta,spark,db22,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,12151.96,tpch,100
delta,spark,db1,34.0; 4.3; 10.7; 131.8; 1015.4; 7.8; 56.8; 0.5; 0.3,30562.78,tpch,100
delta,spark,db10,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,110205.64,tpch,100
delta,spark,db15,35.1;3.4;11.2;139.4;1000.9;6.7;59.2;0.6;0.3,99374.23,tpch,100
delta,spark,db22,30.8; 4.2; 10.4; 136.3; 893.2; 5.7; 58.1; 0.6; 0.3,20168.00,tpch,100
delta,spark,db2,34.2; 3.6; 11.8; 125.8; 800.4; 8.3; 64.7; 0.5; 0.3,24068.68,tpch,100
delta,spark,db20,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,76383.03,tpch,100
delta,spark,db8,28.7; 3.6; 8.6; 132.4; 743.0; 8.2; 59.1; 0.5; 0.3,95829.79,tpch,100
delta,spark,db14,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,53186.96,tpch,100
delta,spark,db16,32.9; 3.6; 10.2; 116.3; 1132.0; 6.2; 66.1; 0.5; 0.3,10231.73,tpch,100
delta,spark,db7,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,91236.38,tpch,100
delta,spark,db2,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,19898.96,tpch,100
delta,spark,db16,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,17412.21,tpch,100
delta,spark,db12,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,41541.12,tpch,100
delta,spark,db5,34.0; 4.3; 10.7; 131.8; 1015.4; 7.8; 56.8; 0.5; 0.3,108304.80,tpch,100
delta,spark,db10,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,100332.63,tpch,100
delta,spark,db22,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,14843.51,tpch,100
delta,spark,db15,32.8;4.0;9.2;135.5;955.3;7.7;62.0;0.5;0.2,88879.82,tpch,100
delta,spark,db6,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,38012.74,tpch,100
delta,spark,db4,28.1;3.9;8.7;118.3;830.5;7.9;52.3;0.5;0.3,46345.14,tpch,100
delta,spark,db21,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,123285.42,tpch,100
delta,spark,db10,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,112175.87,tpch,100
delta,spark,db3,37.0; 3.8; 10.2; 139.1; 1034.9; 6.9; 46.7; 0.6; 0.3,97924.29,tpch,100
delta,spark,db2,35.8; 3.8; 12.3; 122.7; 982.3; 7.0; 48.8; 0.7; 0.3,24905.27,tpch,100
delta,spark,db2,28.9; 3.8; 8.5; 120.6; 830.2; 7.7; 50.4; 0.6; 0.3,26001.65,tpch,100
delta,spark,db13,24.3; 3.9; 8.6; 117.5; 942.2; 8.9; 48.1; 0.5; 0.3,26584.29,tpch,100
delta,spark,db3,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,79020.04,tpch,100
delta,spark,db5,35.1;3.4;11.2;139.4;1000.9;6.7;59.2;0.6;0.3,118243.01,tpch,100
delta,spark,db11,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,22267.51,tpch,100
delta,spark,db17,34.2; 3.6; 11.8; 125.8; 800.4; 8.3; 64.7; 0.5; 0.3,145901.13,tpch,100
delta,spark,db17,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,137116.56,tpch,100
delta,spark,db21,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,121386.42,tpch,100
delta,spark,db12,34.7; 3.6; 12.5; 124.7; 1024.7; 7.6; 51.0; 0.5; 0.3,48984.92,tpch,100
delta,spark,db4,31.6; 4.2; 11.9; 146.8; 1070.8; 8.3; 64.5; 0.5; 0.3,35294.34,tpch,100
delta,spark,db6,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,48384.51,tpch,100
delta,spark,db16,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,17233.91,tpch,100
delta,spark,db22,31.5; 3.9; 11.4; 98.6; 1152.7; 6.7; 67.8; 0.4; 0.3,14010.08,tpch,100
delta,spark,db3,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,61196.74,tpch,100
delta,spark,db18,40.0; 3.7; 12.8; 119.2; 952.6; 6.4; 63.1; 0.6; 0.3,111749.47,tpch,100
delta,spark,db8,29.3; 4.4; 8.1; 115.7; 931.0; 8.5; 49.5; 0.4; 0.3,103038.83,tpch,100
delta,spark,db4,27.5;3.5;10.0;137.2;942.1;7.8;55.0;0.6;0.3,45281.38,tpch,100
delta,spark,db1,28.7; 3.6; 8.6; 132.4; 743.0; 8.2; 59.1; 0.5; 0.3,31621.34,tpch,100
delta,spark,db3,33.3;3.4;11.1;110.6;1047.0;6.2;62.8;0.4;0.3,77823.18,tpch,100
delta,spark,db15,35.9; 4.1; 10.0; 144.9; 920.4; 6.9; 66.2; 0.5; 0.3,127320.97,tpch,100
delta,spark,db19,35.5;4.0;10.6;143.9;939.2;7.4;60.9;0.5;0.3,40233.17,tpch,100
delta,spark,db11,36.3; 3.9; 11.4; 161.1; 863.1; 6.5; 55.9; 0.5; 0.3,20714.86,tpch,100
delta,spark,db15,34.6;4.3;11.2;130.5;1006.8;6.9;53.8;0.6;0.3,100303.40,tpch,100
delta,spark,db19,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,44740.01,tpch,100
delta,spark,db17,24.3; 3.9; 8.6; 117.5; 942.2; 8.9; 48.1; 0.5; 0.3,156150.87,tpch,100
delta,spark,db20,36.6; 3.9; 11.7; 131.4; 980.2; 7.8; 55.6; 0.5; 0.3,57968.65,tpch,100
delta,spark,db13,34.6; 3.9; 12.6; 113.0; 965.8; 6.3; 49.8; 0.6; 0.3,32343.80,tpch,100
delta,spark,db9,31.6; 3.3; 10.0; 142.0; 955.2; 5.7; 54.0; 0.6; 0.3,110066.70,tpch,100
delta,spark,db7,36.6; 3.9; 11.7; 131.4; 980.2; 7.8; 55.6; 0.5; 0.3,158001.25,tpch,100
delta,spark,db3,37.0; 3.8; 10.2; 139.1; 1034.9; 6.9; 46.7; 0.6; 0.3,88084.79,tpch,100
delta,spark,db15,28.5; 3.0; 10.3; 153.4; 862.1; 8.0; 48.8; 0.7; 0.3,105850.72,tpch,100
delta,spark,db22,36.0; 3.1; 10.9; 115.2; 956.2; 6.6; 59.9; 0.4; 0.3,26654.76,tpch,100
delta,spark,db1,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,49936.766912,tpch,100
delta,spark,db10,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,85178.762931,tpch,100
delta,spark,db11,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,34825.649759,tpch,100
delta,spark,db12,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,73179.042027,tpch,100
delta,spark,db13,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,52159.381636,tpch,100
delta,spark,db14,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,71231.444221,tpch,100
delta,spark,db15,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,92754.195954,tpch,100
delta,spark,db16,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,11266.089191,tpch,100
delta,spark,db17,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,105573.113564,tpch,100
delta,spark,db18,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,102693.58183,tpch,100
delta,spark,db19,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,58273.583789,tpch,100
delta,spark,db2,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,23657.035106,tpch,100
delta,spark,db20,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,78179.584543,tpch,100
delta,spark,db21,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,182810.37002,tpch,100
delta,spark,db22,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,21089.820539,tpch,100
delta,spark,db3,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,104019.551521,tpch,100
delta,spark,db4,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,48100.524172,tpch,100
delta,spark,db5,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,107784.721355,tpch,100
delta,spark,db6,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,58276.437193,tpch,100
delta,spark,db7,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,146405.911574,tpch,100
delta,spark,db8,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,97456.033227,tpch,100
delta,spark,db9,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,141783.200647,tpch,100
delta,spark,db1,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,57806.743956,tpch,100
delta,spark,db10,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,98308.868873,tpch,100
delta,spark,db11,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,51778.111698,tpch,100
delta,spark,db12,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,67698.685299,tpch,100
delta,spark,db13,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,55168.711251,tpch,100
delta,spark,db14,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,83210.272179,tpch,100
delta,spark,db15,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,120361.363026,tpch,100
delta,spark,db16,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,32221.51107,tpch,100
delta,spark,db17,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,117341.955965,tpch,100
delta,spark,db18,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,101734.368734,tpch,100
delta,spark,db19,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,49036.056255,tpch,100
delta,spark,db2,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,30136.442258,tpch,100
delta,spark,db20,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,71702.715041,tpch,100
delta,spark,db21,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,186610.006402,tpch,100
delta,spark,db22,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,21361.446891,tpch,100
delta,spark,db3,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,95500.064688,tpch,100
delta,spark,db4,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,52545.365225,tpch,100
delta,spark,db5,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,133508.116238,tpch,100
delta,spark,db6,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,45450.774923,tpch,100
delta,spark,db7,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,149243.75372,tpch,100
delta,spark,db8,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,122322.632257,tpch,100
delta,spark,db9,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,162652.25307,tpch,100
delta,spark,db1,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,52562.732158,tpch,100
delta,spark,db10,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,96245.083664,tpch,100
delta,spark,db11,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,25343.709475,tpch,100
delta,spark,db12,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,53106.852334,tpch,100
delta,spark,db13,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,68515.196885,tpch,100
delta,spark,db14,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,48717.792708,tpch,100
delta,spark,db15,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,101074.607776,tpch,100
delta,spark,db16,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,17585.670375,tpch,100
delta,spark,db17,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,113556.317076,tpch,100
delta,spark,db18,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,88708.998529,tpch,100
delta,spark,db19,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,60575.689998,tpch,100
delta,spark,db2,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,29061.650589,tpch,100
delta,spark,db20,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,70489.197693,tpch,100
delta,spark,db21,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,162511.39815,tpch,100
delta,spark,db22,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,17894.450731,tpch,100
delta,spark,db3,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,94032.559547,tpch,100
