datalake,engine,query name,conf,latency,benchmark,sf
iceberg,trino,db12,memory.heap-headroom-per-node=14.1; node-scheduler.max-splits-per-node=90.7; query.max-memory=25.8; query.max-memory-per-node=19.4; query.max-total-memory-per-node=16.3; task.concurrency=44.3; task.max-worker-threads=47.7,7692.77,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=22.6; node-scheduler.max-splits-per-node=221.9; query.max-memory=36.6; query.max-memory-per-node=19.7; query.max-total-memory-per-node=17.8; task.concurrency=41.2; task.max-worker-threads=25.7,11152.43,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=20.4; node-scheduler.max-splits-per-node=204.7; query.max-memory=27.6; query.max-memory-per-node=15.7; query.max-total-memory-per-node=16.8; task.concurrency=48.9; task.max-worker-threads=22.7,7285.71,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=16.3; node-scheduler.max-splits-per-node=176.7; query.max-memory=22.7; query.max-memory-per-node=19.0; query.max-total-memory-per-node=14.3; task.concurrency=27.5; task.max-worker-threads=15.4,11526.48,tpch,100
iceberg,trino,db17,memory.heap-headroom-per-node=20.2; node-scheduler.max-splits-per-node=111.1; query.max-memory=26.3; query.max-memory-per-node=16.7; query.max-total-memory-per-node=14.5; task.concurrency=28.7; task.max-worker-threads=34.5,5618.30,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=14.5; node-scheduler.max-splits-per-node=217.5; query.max-memory=27.3; query.max-memory-per-node=13.9; query.max-total-memory-per-node=15.4; task.concurrency=36.8; task.max-worker-threads=24.2,14032.44,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=17.6; node-scheduler.max-splits-per-node=112.2; query.max-memory=27.5; query.max-memory-per-node=14.4; query.max-total-memory-per-node=15.5; task.concurrency=31.5; task.max-worker-threads=34.4,8923.63,tpch,100
iceberg,trino,db21,memory.heap-headroom-per-node=19.7; node-scheduler.max-splits-per-node=261.9; query.max-memory=34.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=14.1; task.concurrency=15.7; task.max-worker-threads=29.9,12591.89,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=14.9; node-scheduler.max-splits-per-node=141.0; query.max-memory=15.1; query.max-memory-per-node=17.5; query.max-total-memory-per-node=19.4; task.concurrency=45.1; task.max-worker-threads=14.2,5854.32,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=12.4; node-scheduler.max-splits-per-node=181.6; query.max-memory=28.3; query.max-memory-per-node=16.2; query.max-total-memory-per-node=15.1; task.concurrency=29.0; task.max-worker-threads=14.6,8155.70,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=203.4; query.max-memory=33.8; query.max-memory-per-node=19.9; query.max-total-memory-per-node=17.3; task.concurrency=44.1; task.max-worker-threads=20.6,6254.52,tpch,100
iceberg,trino,db19,memory.heap-headroom-per-node=16.5; node-scheduler.max-splits-per-node=216.1; query.max-memory=31.6; query.max-memory-per-node=17.9; query.max-total-memory-per-node=16.4; task.concurrency=51.1; task.max-worker-threads=46.3,7507.84,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,9172.55,tpch,100
iceberg,trino,db17,memory.heap-headroom-per-node=17.3; node-scheduler.max-splits-per-node=197.6; query.max-memory=14.2; query.max-memory-per-node=22.5; query.max-total-memory-per-node=17.5; task.concurrency=45.0; task.max-worker-threads=33.2,5194.42,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=15.9; node-scheduler.max-splits-per-node=274.6; query.max-memory=29.6; query.max-memory-per-node=16.1; query.max-total-memory-per-node=12.3; task.concurrency=17.2; task.max-worker-threads=32.4,11389.98,tpch,100
iceberg,trino,db22,memory.heap-headroom-per-node=15.5; node-scheduler.max-splits-per-node=87.0; query.max-memory=22.5; query.max-memory-per-node=18.4; query.max-total-memory-per-node=21.3; task.concurrency=43.9; task.max-worker-threads=48.0,9925.19,tpch,100
iceberg,trino,db4,memory.heap-headroom-per-node=15.6; node-scheduler.max-splits-per-node=202.6; query.max-memory=19.5; query.max-memory-per-node=16.4; query.max-total-memory-per-node=15.6; task.concurrency=35.9; task.max-worker-threads=16.4,12126.09,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=32,9606.02,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=17.8; node-scheduler.max-splits-per-node=221.5; query.max-memory=18.3; query.max-memory-per-node=19.7; query.max-total-memory-per-node=15.8; task.concurrency=30.1; task.max-worker-threads=17.4,13232.36,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=17.4; node-scheduler.max-splits-per-node=97.4; query.max-memory=21.0; query.max-memory-per-node=19.3; query.max-total-memory-per-node=18.5; task.concurrency=43.1; task.max-worker-threads=50.9,11863.59,tpch,100
iceberg,trino,db1,memory.heap-headroom-per-node=14.6; node-scheduler.max-splits-per-node=177.9; query.max-memory=36.2; query.max-memory-per-node=16.3; query.max-total-memory-per-node=15.9; task.concurrency=52.1; task.max-worker-threads=52.4,9065.83,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=19.9; node-scheduler.max-splits-per-node=108.8; query.max-memory=24.6; query.max-memory-per-node=12.8; query.max-total-memory-per-node=16.9; task.concurrency=22.6; task.max-worker-threads=49.2,13878.82,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=14.3; node-scheduler.max-splits-per-node=113.7; query.max-memory=19.0; query.max-memory-per-node=12.3; query.max-total-memory-per-node=14.1; task.concurrency=26.5; task.max-worker-threads=33.0,6372.28,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=22.6; node-scheduler.max-splits-per-node=104.4; query.max-memory=28.9; query.max-memory-per-node=12.6; query.max-total-memory-per-node=17.1; task.concurrency=21.6; task.max-worker-threads=46.3,7384.01,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=17.6; node-scheduler.max-splits-per-node=171.8; query.max-memory=18.3; query.max-memory-per-node=20.0; query.max-total-memory-per-node=17.2; task.concurrency=21.8; task.max-worker-threads=33.4,11712.40,tpch,100
iceberg,trino,db1,memory.heap-headroom-per-node=14.8; node-scheduler.max-splits-per-node=221.2; query.max-memory=32.1; query.max-memory-per-node=14.8; query.max-total-memory-per-node=15.7; task.concurrency=27.7; task.max-worker-threads=16.6,5002.37,tpch,100
iceberg,trino,db15,memory.heap-headroom-per-node=14.3; node-scheduler.max-splits-per-node=113.7; query.max-memory=19.0; query.max-memory-per-node=12.3; query.max-total-memory-per-node=14.1; task.concurrency=26.5; task.max-worker-threads=33.0,5673.91,tpch,100
iceberg,trino,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=20; query.max-total-memory-per-node=20; task.concurrency=24; task.max-worker-threads=32,8906.58,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=22.7; node-scheduler.max-splits-per-node=195.1; query.max-memory=34.4; query.max-memory-per-node=18.2; query.max-total-memory-per-node=16.5; task.concurrency=44.0; task.max-worker-threads=22.0,10883.92,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=14.5; node-scheduler.max-splits-per-node=217.5; query.max-memory=27.3; query.max-memory-per-node=13.9; query.max-total-memory-per-node=15.4; task.concurrency=36.8; task.max-worker-threads=24.2,12999.46,tpch,100
iceberg,trino,db15,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=203.4; query.max-memory=33.8; query.max-memory-per-node=19.9; query.max-total-memory-per-node=17.3; task.concurrency=44.1; task.max-worker-threads=20.6,6661.27,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=19.9; node-scheduler.max-splits-per-node=85.3; query.max-memory=29.9; query.max-memory-per-node=16.9; query.max-total-memory-per-node=14.2; task.concurrency=29.8; task.max-worker-threads=33.4,9278.01,tpch,100
iceberg,trino,db21,memory.heap-headroom-per-node=14.6; node-scheduler.max-splits-per-node=215.2; query.max-memory=24.7; query.max-memory-per-node=13.7; query.max-total-memory-per-node=15.0; task.concurrency=31.8; task.max-worker-threads=22.9,13018.43,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=12.5; node-scheduler.max-splits-per-node=203.8; query.max-memory=26.4; query.max-memory-per-node=18.4; query.max-total-memory-per-node=14.2; task.concurrency=34.5; task.max-worker-threads=24.8,13550.51,tpch,100
iceberg,trino,db12,memory.heap-headroom-per-node=19.5; node-scheduler.max-splits-per-node=220.1; query.max-memory=31.7; query.max-memory-per-node=17.2; query.max-total-memory-per-node=17.3; task.concurrency=27.3; task.max-worker-threads=22.0,5642.82,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=12.1; node-scheduler.max-splits-per-node=200.5; query.max-memory=31.0; query.max-memory-per-node=13.9; query.max-total-memory-per-node=13.9; task.concurrency=35.5; task.max-worker-threads=23.3,7569.64,tpch,100
iceberg,trino,db17,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,6175.58,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=17.1; node-scheduler.max-splits-per-node=111.4; query.max-memory=28.6; query.max-memory-per-node=13.9; query.max-total-memory-per-node=18.1; task.concurrency=22.6; task.max-worker-threads=46.4,15949.24,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=14.6; node-scheduler.max-splits-per-node=106.5; query.max-memory=18.4; query.max-memory-per-node=13.6; query.max-total-memory-per-node=16.8; task.concurrency=22.6; task.max-worker-threads=30.2,9402.47,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=14.9; node-scheduler.max-splits-per-node=205.4; query.max-memory=34.5; query.max-memory-per-node=16.5; query.max-total-memory-per-node=18.3; task.concurrency=52.8; task.max-worker-threads=45.1,9059.89,tpch,100
iceberg,trino,db13,memory.heap-headroom-per-node=14.9; node-scheduler.max-splits-per-node=205.4; query.max-memory=34.5; query.max-memory-per-node=16.5; query.max-total-memory-per-node=18.3; task.concurrency=52.8; task.max-worker-threads=45.1,5719.51,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,9534.14,tpch,100
iceberg,trino,db4,memory.heap-headroom-per-node=17.5; node-scheduler.max-splits-per-node=114.4; query.max-memory=28.3; query.max-memory-per-node=18.1; query.max-total-memory-per-node=12.4; task.concurrency=36.5; task.max-worker-threads=28.9,11780.76,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,9021.08,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,10059.22,tpch,100
iceberg,trino,db4,memory.heap-headroom-per-node=12.1; node-scheduler.max-splits-per-node=200.5; query.max-memory=31.0; query.max-memory-per-node=13.9; query.max-total-memory-per-node=13.9; task.concurrency=35.5; task.max-worker-threads=23.3,10000.72,tpch,100
iceberg,trino,db13,memory.heap-headroom-per-node=17.0; node-scheduler.max-splits-per-node=106.1; query.max-memory=19.7; query.max-memory-per-node=14.8; query.max-total-memory-per-node=18.0; task.concurrency=26.1; task.max-worker-threads=33.2,7401.38,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=18.8; node-scheduler.max-splits-per-node=211.1; query.max-memory=17.5; query.max-memory-per-node=21.8; query.max-total-memory-per-node=20.4; task.concurrency=41.4; task.max-worker-threads=32.3,7499.24,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=18.7; node-scheduler.max-splits-per-node=170.2; query.max-memory=34.6; query.max-memory-per-node=16.7; query.max-total-memory-per-node=18.6; task.concurrency=25.7; task.max-worker-threads=24.4,11255.77,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=21.8; node-scheduler.max-splits-per-node=184.4; query.max-memory=29.5; query.max-memory-per-node=16.3; query.max-total-memory-per-node=17.5; task.concurrency=25.7; task.max-worker-threads=26.3,5800.98,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=20.1; node-scheduler.max-splits-per-node=252.9; query.max-memory=28.7; query.max-memory-per-node=16.3; query.max-total-memory-per-node=14.1; task.concurrency=16.7; task.max-worker-threads=33.1,12323.29,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=17.6; node-scheduler.max-splits-per-node=98.5; query.max-memory=26.1; query.max-memory-per-node=17.8; query.max-total-memory-per-node=15.1; task.concurrency=28.7; task.max-worker-threads=31.3,11585.63,tpch,100
iceberg,trino,db5,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,9007.61,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=14.5; node-scheduler.max-splits-per-node=85.4; query.max-memory=20.2; query.max-memory-per-node=16.8; query.max-total-memory-per-node=22.8; task.concurrency=48.8; task.max-worker-threads=50.8,6233.99,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=15.8; node-scheduler.max-splits-per-node=215.3; query.max-memory=33.8; query.max-memory-per-node=17.0; query.max-total-memory-per-node=13.6; task.concurrency=33.6; task.max-worker-threads=15.4,10503.51,tpch,100
iceberg,trino,db12,memory.heap-headroom-per-node=13.9; node-scheduler.max-splits-per-node=176.9; query.max-memory=31.8; query.max-memory-per-node=15.8; query.max-total-memory-per-node=14.8; task.concurrency=30.7; task.max-worker-threads=24.8,4786.13,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=14.5; node-scheduler.max-splits-per-node=85.4; query.max-memory=20.2; query.max-memory-per-node=16.8; query.max-total-memory-per-node=22.8; task.concurrency=48.8; task.max-worker-threads=50.8,7599.58,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=15.0; node-scheduler.max-splits-per-node=97.9; query.max-memory=20.5; query.max-memory-per-node=14.6; query.max-total-memory-per-node=15.8; task.concurrency=23.6; task.max-worker-threads=29.3,8302.15,tpch,100
iceberg,trino,db8,memory.heap-headroom-per-node=19.7; node-scheduler.max-splits-per-node=261.9; query.max-memory=34.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=14.1; task.concurrency=15.7; task.max-worker-threads=29.9,7773.26,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=15.8; node-scheduler.max-splits-per-node=222.9; query.max-memory=31.2; query.max-memory-per-node=15.4; query.max-total-memory-per-node=14.4; task.concurrency=35.2; task.max-worker-threads=25.5,7629.07,tpch,100
iceberg,trino,db5,memory.heap-headroom-per-node=19.9; node-scheduler.max-splits-per-node=108.8; query.max-memory=24.6; query.max-memory-per-node=12.8; query.max-total-memory-per-node=16.9; task.concurrency=22.6; task.max-worker-threads=49.2,9616.23,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=16.7; node-scheduler.max-splits-per-node=175.5; query.max-memory=22.8; query.max-memory-per-node=22.0; query.max-total-memory-per-node=20.5; task.concurrency=27.2; task.max-worker-threads=36.8,7757.78,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=21.8; node-scheduler.max-splits-per-node=184.4; query.max-memory=29.5; query.max-memory-per-node=16.3; query.max-total-memory-per-node=17.5; task.concurrency=25.7; task.max-worker-threads=26.3,7130.41,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=21.4; node-scheduler.max-splits-per-node=90.9; query.max-memory=27.4; query.max-memory-per-node=15.9; query.max-total-memory-per-node=18.0; task.concurrency=24.9; task.max-worker-threads=50.4,6765.35,tpch,100
iceberg,trino,db5,memory.heap-headroom-per-node=12.3; node-scheduler.max-splits-per-node=209.5; query.max-memory=30.6; query.max-memory-per-node=15.6; query.max-total-memory-per-node=15.5; task.concurrency=27.7; task.max-worker-threads=16.7,10901.00,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=19.9; node-scheduler.max-splits-per-node=85.3; query.max-memory=29.9; query.max-memory-per-node=16.9; query.max-total-memory-per-node=14.2; task.concurrency=29.8; task.max-worker-threads=33.4,7725.12,tpch,100
iceberg,trino,db8,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=215.9; query.max-memory=32.2; query.max-memory-per-node=16.6; query.max-total-memory-per-node=18.6; task.concurrency=21.0; task.max-worker-threads=22.5,8513.54,tpch,100
iceberg,trino,db8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,8513.01,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=20.7; node-scheduler.max-splits-per-node=281.8; query.max-memory=36.5; query.max-memory-per-node=20.3; query.max-total-memory-per-node=15.5; task.concurrency=14.4; task.max-worker-threads=31.9,5411.47,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=203.4; query.max-memory=33.8; query.max-memory-per-node=19.9; query.max-total-memory-per-node=17.3; task.concurrency=44.1; task.max-worker-threads=20.6,7944.68,tpch,100
iceberg,trino,db19,memory.heap-headroom-per-node=15.9; node-scheduler.max-splits-per-node=193.3; query.max-memory=21.0; query.max-memory-per-node=19.6; query.max-total-memory-per-node=17.1; task.concurrency=35.3; task.max-worker-threads=18.0,5963.16,tpch,100
iceberg,trino,db10,memory.heap-headroom-per-node=20.5; node-scheduler.max-splits-per-node=185.3; query.max-memory=34.0; query.max-memory-per-node=15.3; query.max-total-memory-per-node=18.0; task.concurrency=48.6; task.max-worker-threads=25.6,5882.64,tpch,100
iceberg,trino,db11,memory.heap-headroom-per-node=19.4; node-scheduler.max-splits-per-node=93.2; query.max-memory=28.3; query.max-memory-per-node=13.7; query.max-total-memory-per-node=16.5; task.concurrency=26.8; task.max-worker-threads=51.4,8052.03,tpch,100
iceberg,trino,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,4909.06,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=14.6; node-scheduler.max-splits-per-node=106.5; query.max-memory=18.4; query.max-memory-per-node=13.6; query.max-total-memory-per-node=16.8; task.concurrency=22.6; task.max-worker-threads=30.2,7556.94,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=20.2; node-scheduler.max-splits-per-node=199.0; query.max-memory=31.4; query.max-memory-per-node=19.2; query.max-total-memory-per-node=14.9; task.concurrency=53.1; task.max-worker-threads=26.4,6713.43,tpch,100
iceberg,trino,db8,memory.heap-headroom-per-node=21.8; node-scheduler.max-splits-per-node=184.4; query.max-memory=29.5; query.max-memory-per-node=16.3; query.max-total-memory-per-node=17.5; task.concurrency=25.7; task.max-worker-threads=26.3,7273.41,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=14.3; node-scheduler.max-splits-per-node=113.7; query.max-memory=19.0; query.max-memory-per-node=12.3; query.max-total-memory-per-node=14.1; task.concurrency=26.5; task.max-worker-threads=33.0,13909.70,tpch,100
iceberg,trino,db22,memory.heap-headroom-per-node=20.1; node-scheduler.max-splits-per-node=252.9; query.max-memory=28.7; query.max-memory-per-node=16.3; query.max-total-memory-per-node=14.1; task.concurrency=16.7; task.max-worker-threads=33.1,10850.65,tpch,100
iceberg,trino,db13,memory.heap-headroom-per-node=16.3; node-scheduler.max-splits-per-node=190.6; query.max-memory=36.8; query.max-memory-per-node=16.2; query.max-total-memory-per-node=15.3; task.concurrency=47.3; task.max-worker-threads=45.2,6773.22,tpch,100
iceberg,trino,db22,memory.heap-headroom-per-node=14.3; node-scheduler.max-splits-per-node=113.7; query.max-memory=19.0; query.max-memory-per-node=12.3; query.max-total-memory-per-node=14.1; task.concurrency=26.5; task.max-worker-threads=33.0,11252.73,tpch,100
iceberg,trino,db3,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=203.4; query.max-memory=33.8; query.max-memory-per-node=19.9; query.max-total-memory-per-node=17.3; task.concurrency=44.1; task.max-worker-threads=20.6,11807.73,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=19.7; node-scheduler.max-splits-per-node=261.9; query.max-memory=34.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=14.1; task.concurrency=15.7; task.max-worker-threads=29.9,10294.22,tpch,100
iceberg,trino,db15,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=32,7436.83,tpch,100
iceberg,trino,db1,memory.heap-headroom-per-node=20.4; node-scheduler.max-splits-per-node=204.7; query.max-memory=27.6; query.max-memory-per-node=15.7; query.max-total-memory-per-node=16.8; task.concurrency=48.9; task.max-worker-threads=22.7,5771.34,tpch,100
iceberg,trino,db11,memory.heap-headroom-per-node=22.6; node-scheduler.max-splits-per-node=221.9; query.max-memory=36.6; query.max-memory-per-node=19.7; query.max-total-memory-per-node=17.8; task.concurrency=41.2; task.max-worker-threads=25.7,6524.80,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=20.1; node-scheduler.max-splits-per-node=177.3; query.max-memory=29.4; query.max-memory-per-node=17.1; query.max-total-memory-per-node=16.4; task.concurrency=44.1; task.max-worker-threads=22.0,12470.79,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=19.7; node-scheduler.max-splits-per-node=261.9; query.max-memory=34.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=14.1; task.concurrency=15.7; task.max-worker-threads=29.9,7008.13,tpch,100
iceberg,trino,db21,memory.heap-headroom-per-node=13.0; node-scheduler.max-splits-per-node=110.9; query.max-memory=24.8; query.max-memory-per-node=17.4; query.max-total-memory-per-node=16.0; task.concurrency=49.1; task.max-worker-threads=50.7,9439.17,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=19.7; node-scheduler.max-splits-per-node=261.9; query.max-memory=34.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=14.1; task.concurrency=15.7; task.max-worker-threads=29.9,10900.14,tpch,100
iceberg,trino,db8,memory.heap-headroom-per-node=14.1; node-scheduler.max-splits-per-node=90.7; query.max-memory=25.8; query.max-memory-per-node=19.4; query.max-total-memory-per-node=16.3; task.concurrency=44.3; task.max-worker-threads=47.7,6175.11,tpch,100
iceberg,trino,db20,memory.heap-headroom-per-node=20.4; node-scheduler.max-splits-per-node=204.7; query.max-memory=27.6; query.max-memory-per-node=15.7; query.max-total-memory-per-node=16.8; task.concurrency=48.9; task.max-worker-threads=22.7,7849.80,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,6307.61,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=12.5; node-scheduler.max-splits-per-node=203.8; query.max-memory=26.4; query.max-memory-per-node=18.4; query.max-total-memory-per-node=14.2; task.concurrency=34.5; task.max-worker-threads=24.8,6376.08,tpch,100
iceberg,trino,db21,memory.heap-headroom-per-node=13.1; node-scheduler.max-splits-per-node=147.8; query.max-memory=17.2; query.max-memory-per-node=18.4; query.max-total-memory-per-node=21.0; task.concurrency=45.6; task.max-worker-threads=16.0,10586.52,tpch,100
iceberg,trino,db12,memory.heap-headroom-per-node=12.1; node-scheduler.max-splits-per-node=192.7; query.max-memory=25.6; query.max-memory-per-node=15.2; query.max-total-memory-per-node=17.3; task.concurrency=30.8; task.max-worker-threads=25.8,7535.75,tpch,100
iceberg,trino,db12,memory.heap-headroom-per-node=17.1; node-scheduler.max-splits-per-node=111.4; query.max-memory=28.6; query.max-memory-per-node=13.9; query.max-total-memory-per-node=18.1; task.concurrency=22.6; task.max-worker-threads=46.4,6487.88,tpch,100
iceberg,trino,db7,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=215.9; query.max-memory=32.2; query.max-memory-per-node=16.6; query.max-total-memory-per-node=18.6; task.concurrency=21.0; task.max-worker-threads=22.5,9764.34,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=12.5; node-scheduler.max-splits-per-node=203.8; query.max-memory=26.4; query.max-memory-per-node=18.4; query.max-total-memory-per-node=14.2; task.concurrency=34.5; task.max-worker-threads=24.8,7028.41,tpch,100
