datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,db20,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,24135.60,tpch,100
hudi,presto,db9,12.9; 179.8; 75.8; 22.5; 27.5; 877.3; 197.6,62397.43,tpch,100
hudi,presto,db14,20;179;136;13;36;512;2006,15420.33,tpch,100
hudi,presto,db11,9;106;116;31;31;64;120,27740.73,tpch,100
hudi,presto,db14,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,22895.38,tpch,100
hudi,presto,db1,15;272;123;7;44;64;1958,73326.24,tpch,100
hudi,presto,db6,16.4; 121.4; 33.6; 11.7; 33.6; 470.6; 343.3,22041.43,tpch,100
hudi,presto,db10,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,44607.47,tpch,100
hudi,presto,db11,20;179;136;13;36;512;2006,21710.88,tpch,100
hudi,presto,db21,12.6; 234.8; 109.1; 37.8; 49.4; 124.4; 929.2,13562.16,tpch,100
hudi,presto,db4,20;198;136;9;36;512;1784,12489.68,tpch,100
hudi,presto,db2,12.7; 167.7; 89.6; 28.1; 21.9; 1054.2; 232.0,25733.45,tpch,100
hudi,presto,db10,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,35065.97,tpch,100
hudi,presto,db8,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,47862.63,tpch,100
hudi,presto,db16,26;207;16;6;6;2048;390,19790.84,tpch,100
hudi,presto,db20,12.9; 179.8; 75.8; 22.5; 27.5; 877.3; 197.6,17036.47,tpch,100
hudi,presto,db12,16;200;20;18;18;32;32,26719.98,tpch,100
hudi,presto,db22,15;272;123;7;44;64;1958,22013.02,tpch,100
hudi,presto,db8,18;134;35;11;38;512;314,50615.82,tpch,100
hudi,presto,db1,9;131;52;15;15;64;446,67122.15,tpch,100
hudi,presto,db15,16.3; 142.4; 38.0; 11.3; 33.6; 436.3; 328.6,26326.89,tpch,100
hudi,presto,db18,12;281;136;9;36;2048;938,43135.20,tpch,100
hudi,presto,db21,8;137;51;18;32;1024;942,12708.05,tpch,100
hudi,presto,db5,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,52180.08,tpch,100
hudi,presto,db15,19.5; 174.6; 133.0; 9.2; 33.4; 517.5; 1818.6,23441.41,tpch,100
hudi,presto,db13,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,18278.57,tpch,100
hudi,presto,db9,9.8; 146.2; 44.3; 16.7; 14.7; 58.8; 447.9,49318.38,tpch,100
hudi,presto,db11,8;137;51;18;32;1024;942,17172.61,tpch,100
hudi,presto,db22,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,20194.72,tpch,100
hudi,presto,db20,11.7; 202.8; 85.5; 27.8; 25.2; 1101.5; 201.1,24429.14,tpch,100
hudi,presto,db18,15;272;123;7;44;64;1958,64409.90,tpch,100
hudi,presto,db21,20;179;136;13;36;512;2006,12751.80,tpch,100
hudi,presto,db1,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,66774.09,tpch,100
hudi,presto,db1,11.1; 270.1; 140.4; 9.6; 40.7; 1987.0; 981.9,56233.23,tpch,100
hudi,presto,db14,15;153;119;35;39;64;1008,22473.93,tpch,100
hudi,presto,db3,14.6; 195.3; 105.4; 32.8; 45.3; 250.7; 1706.4,25103.23,tpch,100
hudi,presto,db12,11.7; 202.8; 85.5; 27.8; 25.2; 1101.5; 201.1,25180.45,tpch,100
hudi,presto,db13,13;181;83;25;25;1024;229,19680.90,tpch,100
hudi,presto,db17,18;134;35;11;38;512;314,23912.26,tpch,100
hudi,presto,db1,10.1; 117.5; 115.4; 28.7; 29.9; 69.5; 109.9,59748.85,tpch,100
hudi,presto,db14,17.4; 194.7; 19.1; 18.2; 19.1; 29.7; 30.0,16906.42,tpch,100
hudi,presto,db18,15;153;119;35;39;64;1008,63424.42,tpch,100
hudi,presto,db4,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,15118.01,tpch,100
hudi,presto,db11,8.3; 123.4; 49.6; 15.9; 16.1; 70.8; 467.3,21576.38,tpch,100
hudi,presto,db17,16.3; 143.9; 39.5; 10.0; 40.7; 471.3; 289.7,27477.94,tpch,100
hudi,presto,db14,18;134;35;11;38;512;314,24448.80,tpch,100
hudi,presto,db2,15.7; 212.0; 18.0; 16.5; 17.5; 30.4; 32.5,25965.28,tpch,100
hudi,presto,db19,11.1; 270.1; 140.4; 9.6; 40.7; 1987.0; 981.9,19517.07,tpch,100
hudi,presto,db15,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,31048.32,tpch,100
hudi,presto,db10,21;288;132;35;35;1024;119,57282.93,tpch,100
hudi,presto,db3,12.7; 134.1; 36.2; 9.9; 10.8; 61.1; 982.2,25219.32,tpch,100
hudi,presto,db13,11;268;117;39;47;128;1021,20646.23,tpch,100
hudi,presto,db19,14.6; 195.3; 105.4; 32.8; 45.3; 250.7; 1706.4,14344.70,tpch,100
hudi,presto,db3,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,30283.13,tpch,100
hudi,presto,db12,12;281;136;9;36;2048;938,21777.97,tpch,100
hudi,presto,db21,13.4; 153.6; 133.0; 31.3; 35.1; 72.1; 1013.0,15609.11,tpch,100
hudi,presto,db19,15;272;123;7;44;64;1958,16998.16,tpch,100
hudi,presto,db3,20;179;136;13;36;512;2006,24526.23,tpch,100
hudi,presto,db4,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,19679.18,tpch,100
hudi,presto,db20,11.8; 233.3; 102.6; 36.5; 51.6; 143.9; 974.5,27036.89,tpch,100
hudi,presto,db15,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,25681.36,tpch,100
hudi,presto,db11,18;134;35;11;38;512;314,21139.31,tpch,100
hudi,presto,db5,17.4; 194.7; 19.1; 18.2; 19.1; 29.7; 30.0,38761.74,tpch,100
hudi,presto,db16,15.7; 212.0; 18.0; 16.5; 17.5; 30.4; 32.5,17230.60,tpch,100
hudi,presto,db14,27.4; 226.9; 14.0; 6.8; 6.0; 1958.0; 436.1,22189.57,tpch,100
hudi,presto,db4,8.3; 123.4; 49.6; 15.9; 16.1; 70.8; 467.3,19049.86,tpch,100
hudi,presto,db9,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,68317.31,tpch,100
hudi,presto,db10,16.3; 143.9; 39.5; 10.0; 40.7; 471.3; 289.7,39963.64,tpch,100
hudi,presto,db1,15.7; 212.0; 18.0; 16.5; 17.5; 30.4; 32.5,79919.66,tpch,100
hudi,presto,db13,26.8; 210.9; 13.7; 6.4; 6.3; 1915.0; 341.5,27546.37,tpch,100
hudi,presto,db19,9;131;52;15;15;64;446,18093.28,tpch,100
hudi,presto,db3,15;272;123;7;44;64;1958,30479.33,tpch,100
hudi,presto,db4,8.3; 123.4; 49.6; 15.9; 16.1; 70.8; 467.3,23972.80,tpch,100
hudi,presto,db10,16.5; 152.6; 34.5; 10.7; 32.4; 462.1; 314.6,54730.78,tpch,100
hudi,presto,db18,12.7; 134.1; 36.2; 9.9; 10.8; 61.1; 982.2,63725.74,tpch,100
hudi,presto,db6,26.8; 210.9; 13.7; 6.4; 6.3; 1915.0; 341.5,16325.61,tpch,100
hudi,presto,db19,17.4; 194.7; 19.1; 18.2; 19.1; 29.7; 30.0,18639.33,tpch,100
hudi,presto,db17,10.8; 156.1; 27.3; 8.8; 8.9; 72.2; 882.6,25256.09,tpch,100
hudi,presto,db9,10.8; 156.1; 27.3; 8.8; 8.9; 72.2; 882.6,37705.77,tpch,100
hudi,presto,db7,9;106;116;31;31;64;120,42873.06,tpch,100
hudi,presto,db16,12.7; 134.1; 36.2; 9.9; 10.8; 61.1; 982.2,12805.35,tpch,100
hudi,presto,db10,16.4; 121.4; 33.6; 11.7; 33.6; 470.6; 343.3,48056.73,tpch,100
hudi,presto,db6,16.3; 142.4; 38.0; 11.3; 33.6; 436.3; 328.6,28977.03,tpch,100
hudi,presto,db8,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,47217.26,tpch,100
hudi,presto,db7,14.6; 195.3; 105.4; 32.8; 45.3; 250.7; 1706.4,37858.35,tpch,100
hudi,presto,db20,9.8; 146.2; 44.3; 16.7; 14.7; 58.8; 447.9,29934.55,tpch,100
hudi,presto,db1,25.1; 182.7; 14.6; 6.6; 6.0; 1998.7; 349.0,97394.33,tpch,100
hudi,presto,db2,10.8; 156.1; 27.3; 8.8; 8.9; 72.2; 882.6,19481.77,tpch,100
hudi,presto,db15,12.9; 179.8; 75.8; 22.5; 27.5; 877.3; 197.6,24854.25,tpch,100
hudi,presto,db12,13;193;124;29;43;256;1748,26006.95,tpch,100
hudi,presto,db20,26.8; 210.9; 13.7; 6.4; 6.3; 1915.0; 341.5,25098.30,tpch,100
hudi,presto,db15,12;281;136;9;36;2048;938,20092.63,tpch,100
hudi,presto,db21,8;137;51;18;32;1024;942,11140.70,tpch,100
hudi,presto,db2,11;268;117;39;47;128;1021,28254.60,tpch,100
hudi,presto,db17,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,25020.10,tpch,100
hudi,presto,db22,27.4; 226.9; 14.0; 6.8; 6.0; 1958.0; 436.1,14441.04,tpch,100
hudi,presto,db6,12.6; 234.8; 109.1; 37.8; 49.4; 124.4; 929.2,33198.13,tpch,100
hudi,presto,db7,14.6; 195.3; 105.4; 32.8; 45.3; 250.7; 1706.4,32705.69,tpch,100
hudi,presto,db17,9.8; 146.2; 44.3; 16.7; 14.7; 58.8; 447.9,37162.50,tpch,100
hudi,presto,db22,11;268;117;39;47;128;1021,22770.48,tpch,100
hudi,presto,db19,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,22660.50,tpch,100
hudi,presto,db3,25.1; 182.7; 14.6; 6.6; 6.0; 1998.7; 349.0,28263.75,tpch,100
hudi,presto,db7,19.0; 152.7; 35.7; 11.9; 40.9; 582.8; 310.1,36311.57,tpch,100
hudi,presto,db4,9.3; 105.1; 115.4; 28.4; 30.2; 57.1; 123.0,24540.76,tpch,100
hudi,presto,db8,21;288;132;35;35;1024;119,55077.02,tpch,100
hudi,presto,db7,15;272;123;7;44;64;1958,59828.89,tpch,100
hudi,presto,db4,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,20478.27,tpch,100
hudi,presto,db14,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,20437.93,tpch,100
hudi,presto,db8,26.8; 210.9; 13.7; 6.4; 6.3; 1915.0; 341.5,54057.35,tpch,100
hudi,presto,db18,13;181;83;25;25;1024;229,59316.46,tpch,100
hudi,presto,db17,15;272;123;7;44;64;1958,23660.30,tpch,100
hudi,presto,db5,8.3; 123.4; 49.6; 15.9; 16.1; 70.8; 467.3,47118.96,tpch,100
hudi,presto,db16,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,14730.85,tpch,100
hudi,presto,db11,16.5; 152.6; 34.5; 10.7; 32.4; 462.1; 314.6,20991.25,tpch,100
hudi,presto,db10,11.7; 202.8; 85.5; 27.8; 25.2; 1101.5; 201.1,43975.84,tpch,100
hudi,presto,db16,16.5; 152.6; 34.5; 10.7; 32.4; 462.1; 314.6,15403.36,tpch,100
hudi,presto,db2,21;288;132;35;35;1024;119,30894.73,tpch,100
hudi,presto,db8,11.1; 270.1; 140.4; 9.6; 40.7; 1987.0; 981.9,48181.34,tpch,100
hudi,presto,db15,11.7; 202.8; 85.5; 27.8; 25.2; 1101.5; 201.1,18309.51,tpch,100
hudi,presto,db14,12;281;136;9;36;2048;938,18708.82,tpch,100
hudi,presto,db6,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,33841.03,tpch,100
hudi,presto,db5,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,37086.50,tpch,100
hudi,presto,db12,20;179;136;13;36;512;2006,26927.30,tpch,100
hudi,presto,db18,11.7; 202.8; 85.5; 27.8; 25.2; 1101.5; 201.1,42069.66,tpch,100
hudi,presto,db20,13.4; 153.6; 133.0; 31.3; 35.1; 72.1; 1013.0,24023.79,tpch,100
hudi,presto,db19,15.6; 153.5; 107.1; 36.9; 43.9; 65.9; 877.6,20138.26,tpch,100
hudi,presto,db12,9.8; 146.2; 44.3; 16.7; 14.7; 58.8; 447.9,17954.14,tpch,100
hudi,presto,db12,15;272;123;7;44;64;1958,25460.25,tpch,100
hudi,presto,db22,9.3; 105.1; 115.4; 28.4; 30.2; 57.1; 123.0,16584.28,tpch,100
hudi,presto,db5,15;153;119;35;39;64;1008,41248.38,tpch,100
hudi,presto,db21,20;179;136;13;36;512;2006,21237.90,tpch,100
hudi,presto,db22,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,22543.86,tpch,100
hudi,presto,db16,10.1; 117.5; 115.4; 28.7; 29.9; 69.5; 109.9,16737.47,tpch,100
hudi,presto,db15,16.3; 142.4; 38.0; 11.3; 33.6; 436.3; 328.6,29874.27,tpch,100
hudi,presto,db7,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,39917.21,tpch,100
hudi,presto,db20,14.6; 195.3; 105.4; 32.8; 45.3; 250.7; 1706.4,23080.39,tpch,100
hudi,presto,db13,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,24496.25,tpch,100
hudi,presto,db21,27.4; 226.9; 14.0; 6.8; 6.0; 1958.0; 436.1,26736.85,tpch,100
hudi,presto,db10,12.9; 179.8; 75.8; 22.5; 27.5; 877.3; 197.6,52438.19,tpch,100
hudi,presto,db9,15.6; 153.5; 107.1; 36.9; 43.9; 65.9; 877.6,65080.58,tpch,100
hudi,presto,db17,8;137;51;18;32;1024;942,41775.07,tpch,100
hudi,presto,db7,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,33752.62,tpch,100
hudi,presto,db2,16.4; 121.4; 33.6; 11.7; 33.6; 470.6; 343.3,21679.15,tpch,100
hudi,presto,db7,27.4; 226.9; 14.0; 6.8; 6.0; 1958.0; 436.1,58274.29,tpch,100
hudi,presto,db22,12.7; 134.1; 36.2; 9.9; 10.8; 61.1; 982.2,16016.30,tpch,100
hudi,presto,db21,15.7; 212.0; 18.0; 16.5; 17.5; 30.4; 32.5,26123.72,tpch,100
hudi,presto,db6,9;131;52;15;15;64;446,18844.35,tpch,100
hudi,presto,db16,25.1; 182.7; 14.6; 6.6; 6.0; 1998.7; 349.0,12627.73,tpch,100
hudi,presto,db8,20;198;136;9;36;512;1784,49963.36,tpch,100
hudi,presto,db6,20;198;136;9;36;512;1784,26946.90,tpch,100
hudi,presto,db13,16;200;20;18;18;32;32,17813.49,tpch,100
hudi,presto,db2,9.8; 146.2; 44.3; 16.7; 14.7; 58.8; 447.9,27075.84,tpch,100
hudi,presto,db8,15.6; 153.5; 107.1; 36.9; 43.9; 65.9; 877.6,43467.13,tpch,100
hudi,presto,db12,12;281;136;9;36;2048;938,21497.05,tpch,100
hudi,presto,db1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,70445.23,tpch,100
hudi,presto,db10,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,33883.32,tpch,100
hudi,presto,db11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,10731.5,tpch,100
hudi,presto,db12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,9742.11,tpch,100
hudi,presto,db13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,70435.45,tpch,100
hudi,presto,db14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,9882.21,tpch,100
hudi,presto,db15,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,10536.72,tpch,100
hudi,presto,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,26670.64,tpch,100
hudi,presto,db17,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,38345.33,tpch,100
hudi,presto,db18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,11210.51,tpch,100
hudi,presto,db19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,11216.77,tpch,100
hudi,presto,db2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,105579.8,tpch,100
hudi,presto,db20,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,15201.0,tpch,100
hudi,presto,db21,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,14807.43,tpch,100
hudi,presto,db22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,19197.72,tpch,100
hudi,presto,db3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,49413.47,tpch,100
hudi,presto,db4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,14612.41,tpch,100
hudi,presto,db5,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,86886.54,tpch,100
hudi,presto,db6,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,65975.29,tpch,100
hudi,presto,db7,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,95774.35,tpch,100
hudi,presto,db8,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,97594.37,tpch,100
hudi,presto,db9,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,26657.29,tpch,100
hudi,presto,db1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,45782.87,tpch,100
hudi,presto,db10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,15841.82,tpch,100
hudi,presto,db11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,22008.06,tpch,100
hudi,presto,db12,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,72401.72,tpch,100
hudi,presto,db13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,10002.84,tpch,100
hudi,presto,db14,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,76892.55,tpch,100
hudi,presto,db15,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,18564.09,tpch,100
hudi,presto,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,13003.38,tpch,100
hudi,presto,db17,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,36409.4,tpch,100
hudi,presto,db18,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,45398.06,tpch,100
hudi,presto,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,11157.58,tpch,100
hudi,presto,db2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,13996.79,tpch,100
hudi,presto,db20,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,18677.08,tpch,100
hudi,presto,db21,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,15547.21,tpch,100
hudi,presto,db22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,65904.36,tpch,100
hudi,presto,db3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,42815.36,tpch,100
hudi,presto,db4,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,26076.83,tpch,100
hudi,presto,db5,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,36730.86,tpch,100
hudi,presto,db6,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,13737.48,tpch,100
hudi,presto,db7,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,44527.38,tpch,100
hudi,presto,db8,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,34434.54,tpch,100
hudi,presto,db9,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=32,35518.78,tpch,100
hudi,presto,db1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=16,29448.75,tpch,100
hudi,presto,db10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=16,33617.4,tpch,100
hudi,presto,db11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=16,60551.26,tpch,100
