datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,db13,17.1;251.4;21.2;16.5;16.0;16.2,15554.36,tpch,100
delta,trino,db7,16.7; 304.2; 19.0; 18.0; 16.1; 14.1,70252.80,tpch,100
delta,trino,db2,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,11867.39,tpch,100
delta,trino,db6,18.4; 242.9; 20.7; 15.8; 15.3; 15.2,16057.72,tpch,100
delta,trino,db12,15.7;277.2;18.1;20.3;14.0;14.3,28046.19,tpch,100
delta,trino,db9,18.0; 274.9; 16.9; 18.4; 12.5; 14.9,100643.29,tpch,100
delta,trino,db9,16.0; 283.7; 17.7; 20.7; 15.5; 14.2,142205.43,tpch,100
delta,trino,db4,18.4; 242.9; 20.7; 15.8; 15.3; 15.2,25827.85,tpch,100
delta,trino,db22,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,17556.20,tpch,100
delta,trino,db6,13.5; 290.5; 18.7; 23.0; 15.6; 13.2,26581.43,tpch,100
delta,trino,db22,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,22572.97,tpch,100
delta,trino,db10,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,106150.24,tpch,100
delta,trino,db13,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,22503.10,tpch,100
delta,trino,db2,18.1; 261.9; 24.0; 15.8; 14.7; 18.4,22923.98,tpch,100
delta,trino,db21,16.4;250.9;17.3;20.1;17.0;15.9,106652.83,tpch,100
delta,trino,db22,15.3; 259.0; 25.3; 20.3; 17.1; 15.1,15133.84,tpch,100
delta,trino,db16,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,8914.99,tpch,100
delta,trino,db5,18.7; 252.0; 25.8; 18.3; 18.1; 16.8,76660.38,tpch,100
delta,trino,db3,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,37190.14,tpch,100
delta,trino,db13,16.7; 304.2; 19.0; 18.0; 16.1; 14.1,13004.55,tpch,100
delta,trino,db8,16.4;250.9;17.3;20.1;17.0;15.9,55605.71,tpch,100
delta,trino,db13,17.0; 311.1; 17.1; 18.8; 14.8; 12.5,15779.84,tpch,100
delta,trino,db7,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,59881.18,tpch,100
delta,trino,db12,17.8; 252.6; 21.4; 21.6; 16.7; 15.6,28460.95,tpch,100
delta,trino,db13,19.4; 301.8; 15.7; 17.6; 14.9; 14.9,19009.37,tpch,100
delta,trino,db22,17.4;224.4;22.8;15.9;17.7;16.5,16136.50,tpch,100
delta,trino,db8,18.5;226.1;21.7;19.2;17.3;17.8,55598.52,tpch,100
delta,trino,db9,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,145814.37,tpch,100
delta,trino,db11,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,9525.17,tpch,100
delta,trino,db19,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,27218.99,tpch,100
delta,trino,db5,20.0;280.7;18.5;17.2;16.6;17.3,90706.15,tpch,100
delta,trino,db21,16.0; 256.9; 21.5; 18.5; 15.5; 15.4,131456.79,tpch,100
delta,trino,db8,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,44512.18,tpch,100
delta,trino,db21,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,133650.40,tpch,100
delta,trino,db11,18.5;226.1;21.7;19.2;17.3;17.8,18002.66,tpch,100
delta,trino,db1,17.0;234.0;22.6;18.5;17.0;17.2,17135.69,tpch,100
delta,trino,db9,16.0; 283.7; 17.7; 20.7; 15.5; 14.2,101980.08,tpch,100
delta,trino,db1,17.0;234.0;22.6;18.5;17.0;17.2,23258.82,tpch,100
delta,trino,db12,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,30689.60,tpch,100
delta,trino,db7,20.1; 204.8; 23.3; 21.3; 16.2; 15.3,60288.93,tpch,100
delta,trino,db5,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,84303.15,tpch,100
delta,trino,db1,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,23614.50,tpch,100
delta,trino,db10,17.0;234.0;22.6;18.5;17.0;17.2,113647.71,tpch,100
delta,trino,db8,16.0; 256.9; 21.5; 18.5; 15.5; 15.4,49451.49,tpch,100
delta,trino,db11,20.0;280.7;18.5;17.2;16.6;17.3,13169.51,tpch,100
delta,trino,db22,18.5;226.1;21.7;19.2;17.3;17.8,19368.87,tpch,100
delta,trino,db12,17.4;224.4;22.8;15.9;17.7;16.5,28150.46,tpch,100
delta,trino,db16,16.1; 273.6; 18.0; 19.6; 19.0; 18.2,13560.47,tpch,100
delta,trino,db21,18.6;283.2;18.4;18.5;15.9;14.2,98257.69,tpch,100
delta,trino,db5,18.1; 261.9; 24.0; 15.8; 14.7; 18.4,68407.25,tpch,100
delta,trino,db9,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,83143.44,tpch,100
delta,trino,db11,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,13866.26,tpch,100
delta,trino,db19,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,27701.56,tpch,100
delta,trino,db18,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,63263.06,tpch,100
delta,trino,db4,18.5;226.1;21.7;19.2;17.3;17.8,18978.39,tpch,100
delta,trino,db18,17.1;251.4;21.2;16.5;16.0;16.2,59179.54,tpch,100
delta,trino,db18,18.4; 242.9; 20.7; 15.8; 15.3; 15.2,47829.10,tpch,100
delta,trino,db14,17.1;251.4;21.2;16.5;16.0;16.2,26408.43,tpch,100
delta,trino,db11,18;256;20;18;16;16,12899.64,tpch,100
delta,trino,db17,18.6;283.2;18.4;18.5;15.9;14.2,39965.36,tpch,100
delta,trino,db15,14.2; 247.3; 17.1; 18.8; 13.0; 13.2,60176.82,tpch,100
delta,trino,db12,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,30785.75,tpch,100
delta,trino,db5,20.0;280.7;18.5;17.2;16.6;17.3,70525.74,tpch,100
delta,trino,db3,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,52904.96,tpch,100
delta,trino,db16,18.7; 252.0; 25.8; 18.3; 18.1; 16.8,14026.12,tpch,100
delta,trino,db2,17.0;234.0;22.6;18.5;17.0;17.2,13581.69,tpch,100
delta,trino,db20,15.3;276.5;20.0;18.6;16.9;16.3,32538.58,tpch,100
delta,trino,db1,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,24131.30,tpch,100
delta,trino,db10,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,102626.50,tpch,100
delta,trino,db21,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,127867.55,tpch,100
delta,trino,db9,20.0;280.7;18.5;17.2;16.6;17.3,95465.92,tpch,100
delta,trino,db15,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,37869.94,tpch,100
delta,trino,db20,15.4; 234.9; 18.4; 19.2; 16.7; 14.7,38739.56,tpch,100
delta,trino,db10,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,103407.12,tpch,100
delta,trino,db6,17.0;234.0;22.6;18.5;17.0;17.2,20760.77,tpch,100
delta,trino,db13,18.5;226.1;21.7;19.2;17.3;17.8,14430.82,tpch,100
delta,trino,db4,18.0; 274.9; 16.9; 18.4; 12.5; 14.9,23458.53,tpch,100
delta,trino,db6,15.3; 259.0; 25.3; 20.3; 17.1; 15.1,25501.96,tpch,100
delta,trino,db6,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,24337.55,tpch,100
delta,trino,db20,16.0; 283.7; 17.7; 20.7; 15.5; 14.2,37681.57,tpch,100
delta,trino,db11,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,14655.83,tpch,100
delta,trino,db17,17.4;224.4;22.8;15.9;17.7;16.5,48404.05,tpch,100
delta,trino,db7,18.5;226.1;21.7;19.2;17.3;17.8,73722.89,tpch,100
delta,trino,db17,15.7;277.2;18.1;20.3;14.0;14.3,43534.75,tpch,100
delta,trino,db16,14.2; 247.3; 17.1; 18.8; 13.0; 13.2,16261.21,tpch,100
delta,trino,db14,16.1; 273.6; 18.0; 19.6; 19.0; 18.2,24314.92,tpch,100
delta,trino,db19,18.6;283.2;18.4;18.5;15.9;14.2,23452.79,tpch,100
delta,trino,db22,14.2; 247.3; 17.1; 18.8; 13.0; 13.2,14663.92,tpch,100
delta,trino,db14,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,35442.89,tpch,100
delta,trino,db3,18.7; 252.0; 25.8; 18.3; 18.1; 16.8,35404.59,tpch,100
delta,trino,db14,17.0; 311.1; 17.1; 18.8; 14.8; 12.5,38206.62,tpch,100
delta,trino,db15,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,60848.31,tpch,100
delta,trino,db15,17.4; 221.8; 24.3; 15.4; 18.3; 16.4,39899.53,tpch,100
delta,trino,db20,18.0; 274.9; 16.9; 18.4; 12.5; 14.9,28784.35,tpch,100
delta,trino,db10,17.1;251.4;21.2;16.5;16.0;16.2,73808.41,tpch,100
delta,trino,db16,13.5; 290.5; 18.7; 23.0; 15.6; 13.2,15881.56,tpch,100
delta,trino,db6,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,19033.78,tpch,100
delta,trino,db3,17.4;224.4;22.8;15.9;17.7;16.5,42903.45,tpch,100
delta,trino,db16,16.7; 304.2; 19.0; 18.0; 16.1; 14.1,19786.40,tpch,100
delta,trino,db4,16.4; 258.8; 18.0; 19.9; 15.7; 16.9,26640.26,tpch,100
delta,trino,db3,17.0;234.0;22.6;18.5;17.0;17.2,57440.59,tpch,100
delta,trino,db17,18.5;226.1;21.7;19.2;17.3;17.8,50007.51,tpch,100
delta,trino,db1,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,26914.90,tpch,100
delta,trino,db18,19.4; 301.8; 15.7; 17.6; 14.9; 14.9,52921.32,tpch,100
delta,trino,db21,15.7;277.2;18.1;20.3;14.0;14.3,95868.63,tpch,100
delta,trino,db1,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,14955.72,tpch,100
delta,trino,db9,16.1; 273.6; 18.0; 19.6; 19.0; 18.2,131215.97,tpch,100
delta,trino,db19,13.5; 290.5; 18.7; 23.0; 15.6; 13.2,30371.83,tpch,100
delta,trino,db1,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,21881.26,tpch,100
delta,trino,db4,14.2; 247.3; 17.1; 18.8; 13.0; 13.2,21296.16,tpch,100
delta,trino,db14,16.1; 273.6; 18.0; 19.6; 19.0; 18.2,36078.52,tpch,100
delta,trino,db15,18.1; 261.9; 24.0; 15.8; 14.7; 18.4,60330.43,tpch,100
delta,trino,db18,15.4; 234.9; 18.4; 19.2; 16.7; 14.7,55352.28,tpch,100
delta,trino,db10,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,90363.94,tpch,100
delta,trino,db20,18.6;283.2;18.4;18.5;15.9;14.2,29928.68,tpch,100
delta,trino,db6,17.1;251.4;21.2;16.5;16.0;16.2,27019.23,tpch,100
delta,trino,db12,17.2; 249.5; 22.3; 16.8; 19.0; 18.7,25530.28,tpch,100
delta,trino,db19,17.7; 271.6; 17.5; 18.3; 13.9; 16.2,22436.12,tpch,100
delta,trino,db16,18.7; 252.0; 25.8; 18.3; 18.1; 16.8,12516.49,tpch,100
delta,trino,db7,17.4; 202.1; 21.5; 16.1; 19.5; 19.4,41472.84,tpch,100
delta,trino,db20,18;256;20;18;16;16,35368.09,tpch,100
delta,trino,db18,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,40819.37,tpch,100
delta,trino,db2,15.4; 234.9; 18.4; 19.2; 16.7; 14.7,19134.43,tpch,100
delta,trino,db12,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,23733.90,tpch,100
delta,trino,db17,20.0;280.7;18.5;17.2;16.6;17.3,70119.02,tpch,100
delta,trino,db2,15.4; 234.9; 18.4; 19.2; 16.7; 14.7,16678.62,tpch,100
delta,trino,db17,18.4; 242.9; 20.7; 15.8; 15.3; 15.2,50007.13,tpch,100
delta,trino,db16,19.3; 251.9; 21.5; 20.1; 18.6; 16.7,15636.30,tpch,100
delta,trino,db18,15.7;277.2;18.1;20.3;14.0;14.3,49181.16,tpch,100
delta,trino,db3,18.1; 261.9; 24.0; 15.8; 14.7; 18.4,49663.84,tpch,100
delta,trino,db1,17.4; 202.1; 21.5; 16.1; 19.5; 19.4,25438.03,tpch,100
delta,trino,db14,17.8; 252.6; 21.4; 21.6; 16.7; 15.6,31090.94,tpch,100
delta,trino,db1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,9601.16,tpch,100
delta,trino,db10,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,13217.6,tpch,100
delta,trino,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,18275.85,tpch,100
delta,trino,db12,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,9544.22,tpch,100
delta,trino,db13,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,8343.92,tpch,100
delta,trino,db14,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,31586.6,tpch,100
delta,trino,db15,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,69874.58,tpch,100
delta,trino,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,18635.77,tpch,100
delta,trino,db17,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,11989.29,tpch,100
delta,trino,db18,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,40762.35,tpch,100
delta,trino,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,17810.01,tpch,100
delta,trino,db2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,11760.08,tpch,100
delta,trino,db20,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,46352.61,tpch,100
delta,trino,db21,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,23438.49,tpch,100
delta,trino,db22,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,35028.68,tpch,100
delta,trino,db3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,21671.04,tpch,100
delta,trino,db4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,53142.08,tpch,100
delta,trino,db5,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,71432.44,tpch,100
delta,trino,db6,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,65628.69,tpch,100
delta,trino,db7,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,20461.82,tpch,100
delta,trino,db8,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,82551.26,tpch,100
delta,trino,db9,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,76404.38,tpch,100
delta,trino,db1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,49369.32,tpch,100
delta,trino,db10,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,24586.98,tpch,100
delta,trino,db11,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,18377.18,tpch,100
delta,trino,db12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,31538.84,tpch,100
delta,trino,db13,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,44753.67,tpch,100
delta,trino,db14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,14072.52,tpch,100
delta,trino,db15,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,9218.17,tpch,100
delta,trino,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,68971.69,tpch,100
delta,trino,db17,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,22748.79,tpch,100
delta,trino,db18,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,33148.42,tpch,100
delta,trino,db19,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,13482.68,tpch,100
delta,trino,db2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,93587.97,tpch,100
delta,trino,db20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,39911.32,tpch,100
delta,trino,db21,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,47180.95,tpch,100
delta,trino,db22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,12533.91,tpch,100
delta,trino,db3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,29190.73,tpch,100
delta,trino,db4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,26410.63,tpch,100
delta,trino,db5,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,16656.92,tpch,100
delta,trino,db6,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,20173.82,tpch,100
delta,trino,db7,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,19332.81,tpch,100
delta,trino,db8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,22464.43,tpch,100
delta,trino,db9,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,13933.25,tpch,100
delta,trino,db1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=24,24457.56,tpch,100
delta,trino,db10,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=24,17813.66,tpch,100
delta,trino,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=24,19679.39,tpch,100
delta,trino,db12,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=24,8228.31,tpch,100
delta,trino,db13,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=24,16793.52,tpch,100
