datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,db8,199.5; 30.4; 25.4; 27.3; 25.9; 418.9|0.9; 0.0; 1.0,102916.22,tpch,100
hudi,spark,db12,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,21180.92,tpch,100
hudi,spark,db13,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,21804.58,tpch,100
hudi,spark,db10,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,18363.42,tpch,100
hudi,spark,db20,189.1; 25.9; 32.2; 35.2; 29.3; 418.9|0.9; 0.0; 1.0,40977.55,tpch,100
hudi,spark,db3,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,41853.64,tpch,100
hudi,spark,db12,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,24181.47,tpch,100
hudi,spark,db13,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,24756.70,tpch,100
hudi,spark,db9,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,141930.11,tpch,100
hudi,spark,db18,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,44829.95,tpch,100
hudi,spark,db11,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,17308.57,tpch,100
hudi,spark,db3,172.7; 33.3; 27.0; 27.7; 26.6; 418.9|0.9; 0.0; 1.0,45879.61,tpch,100
hudi,spark,db10,185.4; 27.5; 25.3; 27.0; 30.4; 418.9|0.9; 0.0; 1.0,13891.82,tpch,100
hudi,spark,db18,20.5; 20.6; 17.3; 15.5; 16.3; 256.0|1; 1.1; 0.9,46636.51,tpch,100
hudi,spark,db20,19.7; 15.5; 16.3; 16.8; 17.3; 256.0|1; 1.1; 0.0,48967.37,tpch,100
hudi,spark,db22,190.8; 26.2; 29.0; 31.0; 30.1; 393.5|0; 1.1; 0.9,66664.86,tpch,100
hudi,spark,db22,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,44393.89,tpch,100
hudi,spark,db7,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,122022.27,tpch,100
hudi,spark,db14,172.7; 33.3; 27.0; 27.7; 26.6; 418.9|0.9; 0.0; 1.0,29763.02,tpch,100
hudi,spark,db7,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,105581.16,tpch,100
hudi,spark,db1,18.5; 20.3; 21.8; 13.7; 15.2; 222.7|0; 0.0; 1.0,19548.60,tpch,100
hudi,spark,db13,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,22406.13,tpch,100
hudi,spark,db18,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,38531.26,tpch,100
hudi,spark,db2,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,57956.24,tpch,100
hudi,spark,db7,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,97089.73,tpch,100
hudi,spark,db21,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,52518.15,tpch,100
hudi,spark,db12,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,19135.01,tpch,100
hudi,spark,db14,177.7; 28.6; 28.0; 28.4; 31.5; 408.0|0; 1.0; 1.1,28515.48,tpch,100
hudi,spark,db5,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,57566.83,tpch,100
hudi,spark,db4,189.1; 25.9; 32.2; 35.2; 29.3; 418.9|0.9; 0.0; 1.0,45926.60,tpch,100
hudi,spark,db10,22.2; 20.2; 18.7; 17.7; 14.9; 256.0|1; 0.0; 0.0,21255.11,tpch,100
hudi,spark,db11,189.9; 29.2; 24.8; 28.4; 31.7; 393.5|0; 1.0; 1.0,21755.73,tpch,100
hudi,spark,db7,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,103460.13,tpch,100
hudi,spark,db5,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,75583.80,tpch,100
hudi,spark,db21,190.8; 26.2; 29.0; 31.0; 30.1; 393.5|0; 1.1; 0.9,41974.63,tpch,100
hudi,spark,db18,22.2; 20.2; 18.7; 17.7; 14.9; 256.0|1; 0.0; 0.0,46340.62,tpch,100
hudi,spark,db16,19.7; 15.5; 16.3; 16.8; 17.3; 256.0|1; 1.1; 0.0,39907.16,tpch,100
hudi,spark,db13,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,22276.27,tpch,100
hudi,spark,db11,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,14088.62,tpch,100
hudi,spark,db1,172.7; 33.3; 27.0; 27.7; 26.6; 418.9|0.9; 0.0; 1.0,16543.44,tpch,100
hudi,spark,db1,20.8; 20.6; 15.7; 17.7; 14.6; 256.0|1; 0.9; 0.9,19077.76,tpch,100
hudi,spark,db5,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,67735.28,tpch,100
hudi,spark,db17,215.1; 29.1; 28.1; 29.0; 30.0; 408.0|0; 1.0; 1.1,40065.01,tpch,100
hudi,spark,db12,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,18099.04,tpch,100
hudi,spark,db13,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,21644.61,tpch,100
hudi,spark,db19,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,52753.85,tpch,100
hudi,spark,db4,178.4; 29.2; 28.8; 35.9; 26.1; 408.0|1; 0.0; 1.0,72036.28,tpch,100
hudi,spark,db2,19.7; 15.5; 16.3; 16.8; 17.3; 256.0|1; 1.1; 0.0,60182.29,tpch,100
hudi,spark,db21,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,56896.63,tpch,100
hudi,spark,db12,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,20440.34,tpch,100
hudi,spark,db11,178.4; 29.2; 28.8; 35.9; 26.1; 408.0|1; 0.0; 1.0,24614.72,tpch,100
hudi,spark,db19,20.8; 20.6; 15.7; 17.7; 14.6; 256.0|1; 0.9; 0.9,38345.23,tpch,100
hudi,spark,db9,20.8; 20.9; 16.4; 13.5; 20.0; 222.7|0; 0.0; 1.0,85757.32,tpch,100
hudi,spark,db8,22.2; 20.2; 18.7; 17.7; 14.9; 256.0|1; 0.0; 0.0,82274.66,tpch,100
hudi,spark,db17,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,44009.12,tpch,100
hudi,spark,db19,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,49606.63,tpch,100
hudi,spark,db6,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,93199.58,tpch,100
hudi,spark,db19,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,51864.12,tpch,100
hudi,spark,db15,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,21319.65,tpch,100
hudi,spark,db8,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,78951.36,tpch,100
hudi,spark,db20,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,35602.60,tpch,100
hudi,spark,db22,215.3; 29.3; 29.2; 28.4; 31.1; 393.5|0; 1.0; 0.9,43736.11,tpch,100
hudi,spark,db4,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,52847.87,tpch,100
hudi,spark,db1,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,18747.82,tpch,100
hudi,spark,db16,18.5; 20.3; 21.8; 13.7; 15.2; 222.7|0; 0.0; 1.0,39404.52,tpch,100
hudi,spark,db11,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,19310.49,tpch,100
hudi,spark,db6,22.1; 20.0; 17.4; 14.5; 17.7; 222.7|0; 0.0; 1.0,61345.38,tpch,100
hudi,spark,db1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,11592.69,tpch,100
hudi,spark,db10,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,28469.84,tpch,100
hudi,spark,db11,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,75862.5,tpch,100
hudi,spark,db12,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,12763.29,tpch,100
hudi,spark,db13,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,77770.54,tpch,100
hudi,spark,db14,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,10607.06,tpch,100
hudi,spark,db15,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,43440.92,tpch,100
hudi,spark,db16,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,84102.66,tpch,100
hudi,spark,db17,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,92290.77,tpch,100
hudi,spark,db18,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,38426.74,tpch,100
hudi,spark,db19,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,41063.56,tpch,100
hudi,spark,db2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,21489.82,tpch,100
hudi,spark,db20,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,114691.51,tpch,100
hudi,spark,db21,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,23010.2,tpch,100
hudi,spark,db22,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,53377.83,tpch,100
hudi,spark,db3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,30330.8,tpch,100
hudi,spark,db4,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,14954.87,tpch,100
hudi,spark,db5,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,100231.98,tpch,100
hudi,spark,db6,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,43381.68,tpch,100
hudi,spark,db7,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,19608.8,tpch,100
hudi,spark,db8,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,13722.99,tpch,100
hudi,spark,db9,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,96673.44,tpch,100
hudi,spark,db1,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11732.11,tpch,100
hudi,spark,db10,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,17893.97,tpch,100
hudi,spark,db11,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,83643.31,tpch,100
hudi,spark,db12,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,14842.26,tpch,100
hudi,spark,db13,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,76559.7,tpch,100
hudi,spark,db14,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9767.51,tpch,100
hudi,spark,db15,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,42394.68,tpch,100
hudi,spark,db16,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,82192.21,tpch,100
hudi,spark,db17,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,89369.28,tpch,100
hudi,spark,db18,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,77350.18,tpch,100
