datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db19,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,26079.28,tpch,100
delta,presto,db1,27.0; 212.8; 13.8; 5.3; 6.6; 1770.4; 345.0,41095.26,tpch,100
delta,presto,db22,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,18867.22,tpch,100
delta,presto,db15,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,66596.60,tpch,100
delta,presto,db6,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,25411.02,tpch,100
delta,presto,db8,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,47984.45,tpch,100
delta,presto,db5,14;223;138;24;38;256;1096,48077.91,tpch,100
delta,presto,db3,19.3; 200.8; 135.0; 8.1; 38.1; 532.0; 1677.6,47540.88,tpch,100
delta,presto,db10,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,41554.82,tpch,100
delta,presto,db22,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,18862.30,tpch,100
delta,presto,db7,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,44139.63,tpch,100
delta,presto,db17,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,59803.63,tpch,100
delta,presto,db10,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,47790.41,tpch,100
delta,presto,db12,15.3; 194.6; 18.0; 18.3; 20.2; 33.8; 31.8,49017.07,tpch,100
delta,presto,db22,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,24243.71,tpch,100
delta,presto,db16,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,15729.50,tpch,100
delta,presto,db13,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,28250.01,tpch,100
delta,presto,db16,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,17082.52,tpch,100
delta,presto,db16,16.7; 206.1; 17.1; 16.7; 19.6; 30.1; 36.5,14839.16,tpch,100
delta,presto,db13,14;223;138;24;38;256;1096,32335.68,tpch,100
delta,presto,db5,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,42595.96,tpch,100
delta,presto,db5,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,54714.19,tpch,100
delta,presto,db4,7.0; 137.8; 52.9; 19.1; 31.2; 1146.5; 945.3,27327.21,tpch,100
delta,presto,db5,20;198;136;9;36;512;1784,42597.32,tpch,100
delta,presto,db22,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,22028.03,tpch,100
delta,presto,db1,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,32900.19,tpch,100
delta,presto,db15,17;122;47;17;17;2048;817,72098.02,tpch,100
delta,presto,db11,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,41120.70,tpch,100
delta,presto,db10,22.7; 220.9; 17.9; 6.3; 5.9; 2341.2; 362.4,52547.08,tpch,100
delta,presto,db15,23.5; 182.0; 14.2; 5.6; 6.6; 2209.5; 352.9,46410.27,tpch,100
delta,presto,db9,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,59245.89,tpch,100
delta,presto,db16,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,17169.97,tpch,100
delta,presto,db16,16;200;20;18;18;32;32,17394.39,tpch,100
delta,presto,db5,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,53796.08,tpch,100
delta,presto,db17,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,54781.63,tpch,100
delta,presto,db1,17;122;47;17;17;2048;817,33511.16,tpch,100
delta,presto,db18,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,39031.73,tpch,100
delta,presto,db9,14;223;138;24;38;256;1096,57891.37,tpch,100
delta,presto,db14,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,44443.27,tpch,100
delta,presto,db18,8.5; 153.1; 47.9; 16.1; 34.5; 1146.8; 1028.3,53108.17,tpch,100
delta,presto,db6,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,18996.39,tpch,100
delta,presto,db21,17;122;47;17;17;2048;817,43241.45,tpch,100
delta,presto,db21,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,36691.74,tpch,100
delta,presto,db15,7.5; 153.3; 56.4; 17.8; 29.3; 963.2; 947.8,80738.77,tpch,100
delta,presto,db2,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,38789.29,tpch,100
delta,presto,db18,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,51003.24,tpch,100
delta,presto,db1,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,54240.07,tpch,100
delta,presto,db14,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,35140.03,tpch,100
delta,presto,db13,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,34635.67,tpch,100
delta,presto,db11,8.5; 153.1; 47.9; 16.1; 34.5; 1146.8; 1028.3,34534.00,tpch,100
delta,presto,db11,26;207;16;6;6;2048;390,43463.27,tpch,100
delta,presto,db5,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,56199.93,tpch,100
delta,presto,db2,8.0; 138.0; 50.0; 19.0; 28.5; 1176.4; 939.2,31835.91,tpch,100
delta,presto,db6,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,27590.08,tpch,100
delta,presto,db12,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,46836.71,tpch,100
delta,presto,db10,20;198;136;9;36;512;1784,37257.38,tpch,100
delta,presto,db6,8.5; 153.1; 47.9; 16.1; 34.5; 1146.8; 1028.3,22239.13,tpch,100
delta,presto,db8,25.3; 195.8; 14.3; 5.1; 6.0; 1922.4; 437.6,54072.88,tpch,100
delta,presto,db12,26;207;16;6;6;2048;390,35142.32,tpch,100
delta,presto,db17,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,60757.53,tpch,100
delta,presto,db13,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,33329.29,tpch,100
delta,presto,db6,25.3; 195.8; 14.3; 5.1; 6.0; 1922.4; 437.6,25299.65,tpch,100
delta,presto,db19,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,42912.33,tpch,100
delta,presto,db14,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,25940.23,tpch,100
delta,presto,db3,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,52823.11,tpch,100
delta,presto,db22,26;207;16;6;6;2048;390,16309.73,tpch,100
delta,presto,db8,16.7; 206.1; 17.1; 16.7; 19.6; 30.1; 36.5,53700.31,tpch,100
delta,presto,db4,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,28075.24,tpch,100
delta,presto,db1,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,34109.99,tpch,100
delta,presto,db19,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,28363.62,tpch,100
delta,presto,db15,16;200;20;18;18;32;32,61093.96,tpch,100
delta,presto,db7,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,43259.24,tpch,100
delta,presto,db16,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,15237.06,tpch,100
delta,presto,db9,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,34890.94,tpch,100
delta,presto,db14,8.5; 153.1; 47.9; 16.1; 34.5; 1146.8; 1028.3,43215.40,tpch,100
delta,presto,db7,14.4; 224.4; 21.9; 15.4; 16.5; 36.7; 29.2,46048.10,tpch,100
delta,presto,db9,8.0; 138.0; 50.0; 19.0; 28.5; 1176.4; 939.2,49843.57,tpch,100
delta,presto,db13,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,23429.39,tpch,100
delta,presto,db18,22.7; 220.9; 17.9; 6.3; 5.9; 2341.2; 362.4,62535.86,tpch,100
delta,presto,db14,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,35634.81,tpch,100
delta,presto,db20,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,65582.61,tpch,100
delta,presto,db6,8.0; 138.0; 50.0; 19.0; 28.5; 1176.4; 939.2,34180.50,tpch,100
delta,presto,db20,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,61835.20,tpch,100
delta,presto,db21,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,46503.04,tpch,100
delta,presto,db9,7.5; 153.3; 56.4; 17.8; 29.3; 963.2; 947.8,33979.51,tpch,100
delta,presto,db14,25.3; 195.8; 14.3; 5.1; 6.0; 1922.4; 437.6,37470.35,tpch,100
delta,presto,db1,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,40015.38,tpch,100
delta,presto,db3,15.3; 194.6; 18.0; 18.3; 20.2; 33.8; 31.8,51143.76,tpch,100
delta,presto,db12,20;198;136;9;36;512;1784,54869.50,tpch,100
delta,presto,db7,24.3; 218.5; 15.9; 5.7; 5.6; 1940.6; 363.9,55739.32,tpch,100
delta,presto,db11,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,43071.56,tpch,100
delta,presto,db22,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,13130.29,tpch,100
delta,presto,db21,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,55739.72,tpch,100
delta,presto,db18,8.5; 153.1; 47.9; 16.1; 34.5; 1146.8; 1028.3,41993.73,tpch,100
delta,presto,db12,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,34493.41,tpch,100
delta,presto,db1,19.3; 200.8; 135.0; 8.1; 38.1; 532.0; 1677.6,40694.27,tpch,100
delta,presto,db20,8;137;51;18;32;1024;942,52999.46,tpch,100
delta,presto,db6,16.7; 206.1; 17.1; 16.7; 19.6; 30.1; 36.5,16574.49,tpch,100
delta,presto,db10,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,56549.42,tpch,100
delta,presto,db7,18.3; 123.1; 40.2; 14.5; 18.2; 1879.8; 909.4,34513.71,tpch,100
delta,presto,db8,8.0; 138.0; 50.0; 19.0; 28.5; 1176.4; 939.2,33203.62,tpch,100
delta,presto,db19,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,33280.61,tpch,100
delta,presto,db8,24.3; 218.5; 15.9; 5.7; 5.6; 1940.6; 363.9,46646.97,tpch,100
delta,presto,db21,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,47036.70,tpch,100
delta,presto,db10,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,60672.42,tpch,100
delta,presto,db22,18.3; 123.1; 40.2; 14.5; 18.2; 1879.8; 909.4,19771.11,tpch,100
delta,presto,db4,15.1; 117.7; 48.3; 15.3; 18.7; 1924.0; 765.7,22942.21,tpch,100
delta,presto,db19,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,36422.53,tpch,100
delta,presto,db2,16.7; 206.1; 17.1; 16.7; 19.6; 30.1; 36.5,39145.05,tpch,100
delta,presto,db12,23.5; 182.0; 14.2; 5.6; 6.6; 2209.5; 352.9,33717.20,tpch,100
delta,presto,db3,20;198;136;9;36;512;1784,50078.40,tpch,100
delta,presto,db22,17;122;47;17;17;2048;817,16694.90,tpch,100
delta,presto,db4,15.1; 117.7; 48.3; 15.3; 18.7; 1924.0; 765.7,30680.40,tpch,100
delta,presto,db15,14.4; 224.4; 21.9; 15.4; 16.5; 36.7; 29.2,52276.33,tpch,100
delta,presto,db7,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,41471.65,tpch,100
delta,presto,db12,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,45441.07,tpch,100
delta,presto,db7,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,47485.26,tpch,100
delta,presto,db2,20;198;136;9;36;512;1784,35896.89,tpch,100
delta,presto,db3,13.1; 215.4; 124.0; 24.5; 43.3; 283.4; 1144.5,46564.12,tpch,100
delta,presto,db5,27.0; 212.8; 13.8; 5.3; 6.6; 1770.4; 345.0,48225.02,tpch,100
delta,presto,db2,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,33839.15,tpch,100
delta,presto,db13,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,34271.04,tpch,100
delta,presto,db18,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,49120.62,tpch,100
delta,presto,db5,19.3; 200.8; 135.0; 8.1; 38.1; 532.0; 1677.6,49849.09,tpch,100
delta,presto,db8,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,52796.10,tpch,100
delta,presto,db10,18.3; 123.1; 40.2; 14.5; 18.2; 1879.8; 909.4,34383.55,tpch,100
delta,presto,db14,14.4; 224.4; 21.9; 15.4; 16.5; 36.7; 29.2,40575.24,tpch,100
delta,presto,db4,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,34262.65,tpch,100
delta,presto,db3,18.3; 123.1; 40.2; 14.5; 18.2; 1879.8; 909.4,46260.34,tpch,100
delta,presto,db20,26;207;16;6;6;2048;390,60492.38,tpch,100
delta,presto,db21,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,47486.13,tpch,100
delta,presto,db20,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,65604.13,tpch,100
delta,presto,db9,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,53441.10,tpch,100
delta,presto,db3,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,43726.37,tpch,100
delta,presto,db21,19.3; 170.4; 144.5; 9.2; 32.7; 546.8; 1635.4,54451.09,tpch,100
delta,presto,db11,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,26913.29,tpch,100
delta,presto,db7,15.3; 194.6; 18.0; 18.3; 20.2; 33.8; 31.8,44571.22,tpch,100
delta,presto,db8,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,45972.64,tpch,100
delta,presto,db16,17;122;47;17;17;2048;817,15677.25,tpch,100
delta,presto,db20,15.1; 117.7; 48.3; 15.3; 18.7; 1924.0; 765.7,63042.37,tpch,100
delta,presto,db11,7.8; 134.1; 50.7; 15.3; 32.3; 1094.9; 1069.2,41992.22,tpch,100
delta,presto,db21,7.5; 153.3; 56.4; 17.8; 29.3; 963.2; 947.8,59804.89,tpch,100
delta,presto,db19,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,26195.59,tpch,100
delta,presto,db19,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,35723.95,tpch,100
delta,presto,db12,7.5; 153.3; 56.4; 17.8; 29.3; 963.2; 947.8,42624.18,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,21087.73,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,10076.4,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,11863.05,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,53159.41,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,55704.93,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,10811.87,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,87000.02,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,25850.51,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,27287.08,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,11808.69,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,11469.3,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,21628.61,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,25327.99,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,25164.27,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,33065.35,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,78204.15,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,61942.55,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,38293.03,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,112534.96,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,13880.48,tpch,100
delta,presto,db8,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,25992.26,tpch,100
delta,presto,db9,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=28; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,18554.48,tpch,100
delta,presto,db1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,85336.08,tpch,100
delta,presto,db10,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,80873.44,tpch,100
delta,presto,db11,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,11880.96,tpch,100
delta,presto,db12,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,20102.86,tpch,100
delta,presto,db13,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,10193.54,tpch,100
delta,presto,db14,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,83002.98,tpch,100
delta,presto,db15,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,11138.38,tpch,100
delta,presto,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,42913.0,tpch,100
delta,presto,db17,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,29327.54,tpch,100
delta,presto,db18,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,19636.99,tpch,100
delta,presto,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,22005.28,tpch,100
delta,presto,db2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,116325.39,tpch,100
delta,presto,db20,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,80159.39,tpch,100
delta,presto,db21,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,125042.92,tpch,100
delta,presto,db22,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,109353.53,tpch,100
delta,presto,db3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,16185.72,tpch,100
delta,presto,db4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,41376.8,tpch,100
delta,presto,db5,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,21146.9,tpch,100
delta,presto,db6,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,113365.96,tpch,100
delta,presto,db7,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,103159.84,tpch,100
