datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,syn_q5,14.8;62.3;52.4;149.9|181.2;19.2;37.2,1741.03,ssb,100
delta,trino,syn_q8,169.2;66.7;184.9;19.3;89.2;43.9;137.7;126.1|290.2;227.3;114.5;20.4,1088.91,ssb,100
delta,trino,syn_q8,71.3;180.5;165.9;154.1;170.2;22.3|49.0;211.4;89.6;162.8;162.1;211.8,1437.28,ssb,100
delta,trino,syn_q8,21.1;118.6;196.1;110.5;26.7;147.6;124.9;159.8|133.8;255.9;85.3;176.8;190.7,1555.12,ssb,100
delta,trino,syn_q8,126.7;104.3;148.5;104.6;163.5|215.5;294.0;10.5;17.0,1750.32,ssb,100
delta,trino,syn_q8,150.1;49.4;126.9;88.8|106.8;172.5;194.9,1856.98,ssb,100
delta,trino,syn_q8,131.7;141.1;58.3;22.9|156.9;103.9;11.8;208.9;109.0,1070.44,ssb,100
delta,trino,syn_q8,127.0;15.5;43.4;72.8;74.2;137.8;184.1;161.5|149.6;191.9;268.7;165.7,946.70,ssb,100
delta,trino,syn_q8,97.9;164.7;186.3;20.6;109.0;117.3|171.0;15.4;177.4;106.2;275.7,2200.68,ssb,100
delta,trino,syn_q8,22.6;38.4;169.7;74.4;81.3;111.5|175.6;123.0;182.6;260.7,1657.25,ssb,100
delta,trino,syn_q8,144.0;69.8;16.0;88.6;104.4;55.2|250.5;97.8;162.3;60.8;118.5;20.8,1198.32,ssb,100
delta,trino,syn_q8,183.5;94.3;14.7;101.7;105.0|108.6;150.2;263.4;100.0,2388.85,ssb,100
delta,trino,syn_q8,37.2;175.6;166.2;188.2;138.6;35.2|143.2;217.0;161.5,1552.97,ssb,100
delta,trino,syn_q8,69.1;18.4;171.1;175.7|145.4;23.4;161.0;201.1;100.6,2136.68,ssb,100
delta,trino,syn_q8,154.1;131.4;49.9;48.1;64.4;111.1;156.8;137.5|53.3;89.4;14.4;190.7;159.1,1530.69,ssb,100
delta,trino,syn_q9,48.7;64.0;168.6;152.5|173.3;202.3;71.6;299.4;11.2,1927.40,ssb,100
delta,trino,syn_q9,44.3;184.9;56.8;104.6;27.9;72.4;64.0;196.5|124.3;181.2;285.9,1068.82,ssb,100
delta,trino,syn_q9,39.2;25.4;167.8;135.3;96.3;191.5|105.5;22.7;190.5,1758.40,ssb,100
delta,trino,syn_q9,71.7;149.0;149.5;191.9;118.1;50.2;19.2|103.7;26.1;30.5;286.1;120.6,2311.59,ssb,100
delta,trino,syn_q9,58.5;55.6;156.5;85.8;13.9;49.6;83.8|92.6;228.2;199.7;45.0;152.3;135.4,714.60,ssb,100
delta,trino,syn_q9,181.7;124.7;78.2;28.3;79.8;48.0|266.8;148.2;173.3;132.7;229.4;245.2,1181.04,ssb,100
delta,trino,syn_q9,45.4;129.8;27.7;107.5;194.9;138.5;133.0;145.6|162.9;197.7;34.4;145.8;33.0;242.4,1783.52,ssb,100
delta,trino,syn_q9,38.2;34.3;181.6;169.9;109.4;66.1|169.8;276.0;158.9,1411.36,ssb,100
delta,trino,syn_q9,90.7;28.0;135.6;118.0;58.1;58.4;25.5;105.7|224.7;144.2;238.0,1676.67,ssb,100
delta,trino,syn_q9,18.6;89.1;143.8;69.6;147.6;153.9;95.5|109.0;276.3;244.9;71.2;32.7,1251.41,ssb,100
delta,trino,syn_q9,59.3;137.9;92.4;13.4;85.0;12.5;134.6;97.4|261.9;290.1;184.5;151.1;189.4;292.4,1539.48,ssb,100
delta,trino,syn_q9,141.2;193.0;138.3;162.9;26.7;35.7|42.5;14.6;291.5;259.1,1431.56,ssb,100
delta,trino,syn_q9,101.4;37.6;55.9;170.0;173.1|35.0;233.2;53.0;132.3,2129.31,ssb,100
delta,trino,syn_q9,41.6;39.0;143.5;193.1|15.7;140.4;80.4;95.5;250.5;123.6,1618.97,ssb,100
delta,trino,syn_q9,11.5;129.8;145.5;196.1;171.2;150.0|20.7;125.9;158.9;220.1;281.2,1659.88,ssb,100
delta,trino,syn_q10,164.4;13.8;115.7;111.9;164.3;102.8;108.6|228.5;70.2;201.0,1187.82,ssb,100
delta,trino,syn_q10,44.3;123.8;44.2;115.4|45.7;47.4;69.8;56.8;173.1,1074.97,ssb,100
delta,trino,syn_q10,26.1;33.7;66.7;193.6|132.7;284.1;10.0;97.2,2537.42,ssb,100
delta,trino,syn_q10,181.9;65.7;111.5;36.6;103.2;69.5;183.0;199.4|209.5;202.2;23.0;20.7,1986.09,ssb,100
delta,trino,syn_q10,66.9;168.2;191.9;124.4;51.0|90.4;221.4;132.4;169.5;85.6,2196.65,ssb,100
delta,trino,syn_q10,86.0;25.8;58.3;90.8;142.0|30.5;222.5;298.7;212.1,1862.59,ssb,100
delta,trino,syn_q10,145.7;117.1;133.1;107.2;41.2|101.7;238.5;119.9;289.6,1069.03,ssb,100
delta,trino,syn_q10,24.7;33.7;30.9;114.2;22.5|115.2;106.7;89.2,1281.60,ssb,100
delta,trino,syn_q10,62.0;28.6;196.1;52.2;190.8|61.0;221.2;98.9,1737.20,ssb,100
delta,trino,syn_q10,28.2;76.3;118.7;63.6;61.5;28.8;19.1|284.5;123.0;110.1;225.0;290.7,1039.59,ssb,100
delta,trino,syn_q10,114.8;177.6;86.5;122.5;59.2;140.5;145.5;134.9|119.9;223.3;25.3;220.4,1857.75,ssb,100
delta,trino,syn_q10,144.4;57.3;125.7;144.3;44.8;197.4|155.6;90.0;134.1;283.1;265.6;246.1,1395.66,ssb,100
delta,trino,syn_q10,130.8;26.5;68.1;156.4;170.6;130.6|221.7;284.0;57.9,1340.47,ssb,100
delta,trino,syn_q10,26.1;64.3;186.6;163.6|289.0;133.0;157.5,1856.61,ssb,100
delta,trino,syn_q10,101.1;107.9;199.6;178.7;142.6|14.0;65.2;251.1;12.1;133.2;165.0,1713.85,ssb,100
delta,trino,syn_q11,92.5;110.4;160.1;26.3;14.6|69.0;244.9;269.1,1418.22,ssb,100
delta,trino,syn_q11,157.1;118.0;174.3;74.7;139.6;192.0|65.1;70.2;250.0;155.2;113.4;270.9,1314.62,ssb,100
delta,trino,syn_q11,162.3;93.4;128.8;176.1;118.1|236.9;96.5;44.2;76.9,2315.34,ssb,100
delta,trino,syn_q11,112.7;14.3;166.1;65.1;167.3;84.2;78.0;175.8|290.8;31.7;176.9;257.4,1591.11,ssb,100
delta,trino,syn_q11,105.0;85.9;20.8;142.5;31.1;99.5;184.3;60.0|19.4;132.2;68.1,2044.22,ssb,100
delta,trino,syn_q11,36.5;113.9;149.4;185.6|78.3;31.1;284.9,960.59,ssb,100
delta,trino,syn_q11,143.6;155.5;16.7;196.4;190.5;123.6;126.4;25.3|284.5;88.4;22.1;20.3;157.2;198.6,1625.12,ssb,100
delta,trino,syn_q11,100.7;158.5;176.5;53.3;186.9;15.0;158.5|164.9;259.5;207.8;224.0,1958.84,ssb,100
delta,trino,syn_q11,101.6;83.6;81.7;33.8;143.3;114.4;32.0;32.4|112.0;109.5;276.2;79.1;36.7,1537.49,ssb,100
delta,trino,syn_q11,53.2;152.0;178.8;160.7|297.4;14.3;218.7,2064.96,ssb,100
delta,trino,syn_q11,24.6;34.1;44.3;18.3|184.7;268.2;299.4;47.6;125.4,1284.38,ssb,100
delta,trino,syn_q11,134.8;24.5;188.3;49.1|270.3;259.0;138.6;97.8;116.4,2289.35,ssb,100
delta,trino,syn_q11,65.6;134.2;110.1;60.8;142.6;105.7;20.3;181.1|91.1;69.0;49.8;293.0;76.9;225.2,2989.58,ssb,100
delta,trino,syn_q11,33.3;147.7;159.7;16.8;54.7|198.5;141.6;43.1;154.7;19.8;90.6,1345.30,ssb,100
delta,trino,syn_q11,67.1;193.4;21.3;172.4;82.9;13.6;82.7|22.9;69.7;63.5;135.0;25.2;98.5,1312.34,ssb,100
delta,trino,syn_q12,91.2;59.2;52.3;138.2;72.1;97.0|233.3;176.6;112.8;265.3,1088.11,ssb,100
delta,trino,syn_q12,39.0;156.9;49.2;44.5;15.0;124.4;170.5;158.1|286.9;105.0;101.4;76.7;70.6,949.15,ssb,100
delta,trino,syn_q12,41.0;198.3;54.3;184.8;156.7;15.2|45.7;284.9;17.4;261.6;257.7;70.5,1218.83,ssb,100
delta,trino,syn_q12,94.9;85.8;49.1;82.3|36.9;60.8;274.9,1479.63,ssb,100
delta,trino,syn_q12,33.1;153.8;32.9;102.9;124.9;152.4;70.2;46.3|241.9;114.4;84.0,1613.60,ssb,100
delta,trino,syn_q12,189.5;13.1;82.2;89.8|112.9;284.3;252.6,1395.28,ssb,100
delta,trino,syn_q12,189.7;133.9;53.6;143.2;133.6;163.9;176.4|285.9;89.7;197.7,1667.09,ssb,100
delta,trino,syn_q12,18.6;171.0;43.7;11.8;108.5;36.6|231.1;27.7;242.7;261.2;201.7;117.8,1030.46,ssb,100
delta,trino,syn_q12,166.4;89.7;43.2;108.5;38.8;163.8;137.0|264.9;41.7;57.1;154.3;98.8,2313.11,ssb,100
delta,trino,syn_q12,182.7;60.4;71.0;158.8;73.0;178.9|223.1;51.9;128.2,1463.48,ssb,100
delta,trino,syn_q12,81.6;123.7;109.8;40.1;12.8;180.5;27.5;197.8|290.9;144.7;130.4,2097.31,ssb,100
delta,trino,syn_q12,93.7;172.8;163.8;10.1;100.5;180.9;58.8;71.3|287.5;203.8;38.0;152.9;251.0,1662.43,ssb,100
delta,trino,syn_q12,47.3;51.7;34.7;189.0;52.9;25.6;28.0;86.7|82.4;82.7;221.7,1720.29,ssb,100
delta,trino,syn_q12,72.4;195.1;137.0;108.8;119.7;177.9|105.1;118.7;52.1;223.6,1779.61,ssb,100
delta,trino,syn_q12,152.1;162.0;130.1;160.9|14.2;194.0;252.3;79.0,1715.63,ssb,100
delta,trino,syn_q13,170.7;53.5;94.5;143.1;183.2;29.3;36.4;150.7|137.0;116.3;212.7,1351.03,ssb,100
delta,trino,syn_q13,144.6;180.6;80.0;113.3|147.4;90.9;171.6;132.5;28.9;86.2,1350.79,ssb,100
delta,trino,syn_q13,100.2;106.4;56.2;186.3;36.1;14.6|175.4;202.7;139.4,1362.03,ssb,100
delta,trino,syn_q13,80.9;60.0;22.7;160.1;45.2;88.5;116.3;54.1|97.1;226.5;123.3;117.8,2796.84,ssb,100
delta,trino,syn_q13,159.7;31.4;136.5;121.3;11.7;177.3;36.0;184.9|242.4;64.7;147.7;148.8;38.7;122.5,1682.10,ssb,100
delta,trino,syn_q13,173.2;23.5;136.7;173.0;37.6;154.5;100.8;198.1|174.2;81.6;228.5,1706.56,ssb,100
delta,trino,syn_q13,188.1;167.3;87.2;153.0;18.2;70.9|18.0;204.8;279.9;123.3;185.9;261.4,2043.27,ssb,100
delta,trino,syn_q13,101.1;190.4;106.8;87.2;175.7|80.0;161.2;154.2;31.8,1611.40,ssb,100
delta,trino,syn_q13,15.9;22.6;26.1;179.4;37.7;131.9;80.2;84.7|198.5;296.1;109.0;252.5;185.5;276.6,1387.85,ssb,100
delta,trino,syn_q13,107.2;83.4;175.5;140.8;142.1;185.5;125.0|146.1;36.4;152.0;109.3,1414.19,ssb,100
delta,trino,syn_q13,127.1;22.0;129.5;187.5;176.2;122.9;53.3;186.1|273.1;174.1;111.1;98.8;249.5,1468.12,ssb,100
delta,trino,syn_q13,138.5;62.9;123.6;137.2;45.8;126.5;159.5;162.4|65.1;208.9;216.7;170.3;69.3,1483.34,ssb,100
delta,trino,syn_q13,120.5;42.9;147.7;176.5;131.3;49.1;160.1|63.1;197.8;154.1;81.2;150.5,1865.92,ssb,100
delta,trino,syn_q13,187.2;97.2;74.9;58.4;23.7;33.6|245.8;295.3;10.9;64.8;280.9;279.1,1523.56,ssb,100
delta,trino,syn_q13,187.6;114.6;166.0;107.1;89.9;60.5;196.5|182.6;148.1;122.2;44.6;62.5;114.8,1868.73,ssb,100
delta,trino,syn_q14,57.2;72.8;29.6;14.0;105.1;68.8;127.6;195.2|286.5;268.3;41.4;253.4,2181.01,ssb,100
delta,trino,syn_q14,65.9;36.8;194.1;86.8;116.4|128.3;212.9;297.1,1225.58,ssb,100
delta,trino,syn_q14,39.5;131.6;96.9;89.4;179.4;132.0;43.0|99.8;283.5;220.1;160.8,1630.95,ssb,100
delta,trino,syn_q14,71.9;135.9;182.5;133.5;180.7|200.6;172.7;15.1;247.4,1167.50,ssb,100
delta,trino,syn_q14,167.3;180.5;192.4;178.6;32.4;37.1|109.0;169.3;256.2;52.7;181.2;114.0,2854.82,ssb,100
delta,trino,syn_q14,92.5;60.5;158.9;82.7;81.9|192.8;277.8;72.8;172.9;244.5;38.5,1050.42,ssb,100
delta,trino,syn_q14,155.6;163.4;69.6;74.0;185.5|83.1;65.7;87.4,1646.10,ssb,100
delta,trino,syn_q14,38.3;121.6;156.9;171.5;61.7;180.8;172.4;168.2|148.7;74.9;11.9;257.1,1814.12,ssb,100
delta,trino,syn_q14,124.1;182.4;84.0;199.7;32.2;196.1;83.6|31.8;203.8;246.2;107.1,1698.26,ssb,100
delta,trino,syn_q14,19.1;22.6;110.3;126.3|33.2;192.7;31.2;223.9;25.8,1418.90,ssb,100
delta,trino,syn_q14,157.0;174.0;109.1;175.6;190.4;132.0;129.1|221.7;73.9;91.1,1442.70,ssb,100
delta,trino,syn_q14,180.2;93.7;123.8;84.2|217.2;140.2;50.5,1519.85,ssb,100
delta,trino,syn_q14,155.0;88.2;34.7;36.1;13.7;161.7;151.7|220.2;249.5;277.6;277.7;294.8;174.0,1435.29,ssb,100
delta,trino,syn_q14,22.7;157.8;14.3;187.9;138.2;59.9;194.4;47.7|77.3;281.8;286.7;101.1;217.3;59.7,2002.97,ssb,100
delta,trino,syn_q14,184.0;86.2;98.8;186.2;98.2;48.9|206.6;32.8;57.4;120.2,2911.36,ssb,100
delta,trino,syn_q15,96.8;152.8;184.0;10.7|283.6;286.2;180.6;136.9;31.6,1055.94,ssb,100
delta,trino,syn_q15,181.6;18.8;92.2;180.4|132.4;36.7;13.8;197.7;275.7;96.7,873.60,ssb,100
delta,trino,syn_q15,144.7;143.8;179.4;189.1|10.5;139.6;103.9;125.7;247.2,1764.56,ssb,100
delta,trino,syn_q15,61.1;127.5;18.0;126.9;79.8;116.7;47.0;89.7|95.3;50.8;164.9;174.6,1883.65,ssb,100
delta,trino,syn_q15,87.0;83.8;97.2;12.9;54.5;92.4;115.5;180.6|147.0;298.6;201.5,1261.77,ssb,100
delta,trino,syn_q15,158.5;23.8;15.8;162.5;91.5;79.0;170.3|270.1;16.8;182.5;46.7;283.5;48.5,689.46,ssb,100
delta,trino,syn_q15,96.4;193.0;109.2;116.2;175.8;82.2|293.6;170.5;11.7;283.6;270.2,1273.27,ssb,100
delta,trino,syn_q15,187.6;188.7;159.0;78.6;107.0;194.6|143.6;142.5;214.8,1687.09,ssb,100
delta,trino,syn_q15,102.8;83.2;45.1;24.2;112.9|91.3;186.5;181.7;282.6,962.51,ssb,100
delta,trino,syn_q15,60.6;40.9;124.6;100.7;107.3;24.1;20.1|219.1;116.3;275.7;40.5;170.5,1584.82,ssb,100
delta,trino,syn_q15,80.8;168.4;18.6;92.7;106.1;10.5|46.6;262.2;154.1;10.0,1493.13,ssb,100
delta,trino,syn_q15,13.4;149.5;22.0;85.9;185.8;180.7;87.9;190.6|59.8;249.9;90.7;260.7;297.6;155.9,1784.70,ssb,100
delta,trino,syn_q15,126.1;178.6;178.2;63.2;21.1;102.2;133.9;183.4|56.7;85.9;141.3;36.1,1554.79,ssb,100
delta,trino,syn_q15,23.8;188.9;113.0;186.9;156.8;11.2;22.5|283.5;196.0;228.4;27.1;43.7,1120.24,ssb,100
delta,trino,syn_q15,195.2;126.0;170.3;178.3;30.7;165.1|101.3;133.9;226.8,2147.78,ssb,100
delta,trino,syn_q16,118.3;105.5;187.2;94.0;109.6|251.3;161.0;235.0;288.3,1984.25,ssb,100
delta,trino,syn_q16,63.5;175.3;152.3;157.3;32.6;92.7;34.6|201.0;42.4;50.9;279.7;244.5,980.15,ssb,100
delta,trino,syn_q16,24.3;44.8;68.1;22.2;64.0|164.3;240.8;42.7;222.5;281.9,884.46,ssb,100
delta,trino,syn_q16,156.8;143.0;31.3;99.5;126.8;39.2;154.5;121.7|176.9;162.8;199.0;159.0;67.8,949.11,ssb,100
delta,trino,syn_q16,13.8;51.7;92.1;87.9;150.1;151.6;144.2;21.9|281.5;226.9;166.4;66.1;124.8,2190.74,ssb,100
delta,trino,syn_q16,10.7;130.0;72.1;44.1|267.0;270.8;169.5;10.6,1271.13,ssb,100
delta,trino,syn_q16,115.1;40.7;89.4;164.0;42.5;157.9|27.3;125.5;212.3,3231.43,ssb,100
delta,trino,syn_q16,166.3;153.7;187.4;173.0;43.7|265.8;155.5;269.0;205.2,1266.42,ssb,100
delta,trino,syn_q16,50.8;101.9;181.0;25.8;73.9|266.1;289.4;274.8,1585.39,ssb,100
delta,trino,syn_q16,43.6;96.4;57.1;114.9;193.4;30.6;194.9|55.0;156.7;55.5;271.0,2382.38,ssb,100
delta,trino,syn_q16,38.9;137.9;171.3;148.9;52.5;180.6;97.6;124.0|163.2;104.4;282.0,2738.18,ssb,100
delta,trino,syn_q16,87.2;180.2;103.7;28.0|132.5;192.5;117.4,2784.08,ssb,100
delta,trino,syn_q16,41.7;130.6;187.5;109.3;172.7;164.5;57.0;24.3|145.5;138.9;128.8;143.6,2155.40,ssb,100
delta,trino,syn_q16,142.0;76.9;122.7;120.1;111.3;56.9;141.6;76.5|61.7;205.9;297.3;248.4;53.7;123.3,2039.46,ssb,100
delta,trino,syn_q16,142.2;166.2;111.4;155.1;126.2;77.2|50.1;140.0;99.3,1791.80,ssb,100
delta,trino,q1_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,11823.89,ssb,100
delta,trino,q1_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2520.44,ssb,100
delta,trino,q1_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4219.85,ssb,100
delta,trino,q2_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,13853.53,ssb,100
delta,trino,q2_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,18228.9,ssb,100
delta,trino,q2_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,17276.95,ssb,100
delta,trino,q3_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2513.56,ssb,100
delta,trino,q3_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2475.58,ssb,100
delta,trino,q3_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,17964.24,ssb,100
delta,trino,q3_4,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2547.44,ssb,100
delta,trino,q4_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2495.72,ssb,100
delta,trino,q4_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7909.08,ssb,100
delta,trino,q4_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,2481.86,ssb,100
delta,trino,q1_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,10782.94,ssb,100
delta,trino,q1_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,17940.63,ssb,100
delta,trino,q1_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,6257.47,ssb,100
delta,trino,q2_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,5083.83,ssb,100
delta,trino,q2_2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,2374.03,ssb,100
delta,trino,q2_3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,18822.75,ssb,100
