datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,19006.94,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,16214.5,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,14428.24,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,28449.94,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,107003.62,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,116043.75,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,94412.17,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,105664.51,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,114653.75,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,66862.95,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,94970.71,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,16465.32,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,22682.19,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,53716.71,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,32613.68,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,34710.22,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,58417.12,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,15259.8,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,15270.23,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,12562.6,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,13896.59,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,15391.37,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,30761.96,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,15864.02,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,55321.7,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,118576.66,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,59667.8,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,87627.24,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,109280.09,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,11859.83,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,14712.02,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,18646.22,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,20203.81,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,58156.07,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,62286.95,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,13989.53,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,41115.57,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,46053.83,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,22950.28,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,18438.76,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,87395.21,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,57046.79,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,11722.2,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,15453.93,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,19298.26,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,44915.06,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,106628.72,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,72049.27,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,14621.87,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,36419.94,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,50378.26,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,41001.91,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,32940.41,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,88931.39,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,111070.04,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,12250.61,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,119019.96,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,43937.9,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,20730.37,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,104368.24,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,19851.18,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13753.62,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,123644.75,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,115354.35,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,18799.06,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,16411.94,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,36118.75,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,102522.06,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,43758.25,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,119568.7,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,15950.28,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,13188.12,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,14005.82,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,14560.09,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,24889.67,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,122853.79,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,106924.66,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,46480.77,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,17074.96,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,40343.24,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,107842.12,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,18180.93,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,98173.19,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,20091.3,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,13624.47,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,14567.85,ssb-flat,100
iceberg,spark,q3_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,61278.08,ssb-flat,100
iceberg,spark,q3_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,18288.66,ssb-flat,100
iceberg,spark,q3_4,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,15839.86,ssb-flat,100
iceberg,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,19803.03,ssb-flat,100
iceberg,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,24875.51,ssb-flat,100
iceberg,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,33037.96,ssb-flat,100
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,89120.68,ssb-flat,100
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,110633.69,ssb-flat,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11737.27,ssb-flat,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,118444.85,ssb-flat,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,15550.27,ssb-flat,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,13060.91,ssb-flat,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,13901.08,ssb-flat,100
